"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","386","3.047","16.6","16.6","40.7","12.4","12.4","0.8",".",".",".",".",".",".",".","0.3",".","0.3"
"Mass Communication Practices","202
001","93","3.274","10.8","40.9","41.9","5.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","205
001","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","Course Total","28","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","14","3.357","35.7","42.9","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","001
417","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","108","2.678","13.9","13.0","25.0","13.9","24.1","6.5","2.8","0.9",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","88","3.188","3.4","40.9","51.1","3.4",".",".","1.1",".",".",".",".",".",".",".",".","."
"","561
001","26","3.308","23.1","26.9","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
561","18","3.382","22.2","38.9","22.2","11.1",".",".",".",".",".",".",".",".",".","5.6",".","."
"Mass Communication&Society","Course Total","44","3.337","22.7","31.8","31.8","11.4",".",".",".",".",".",".",".",".",".","2.3",".","."
"Effects-Mass Communication","001
565","94","3.032","8.5","26.6","39.4","18.1","3.2","3.2",".",".",".",".",".",".",".",".","1.1","."
"","575
080","34","3.615","47.1","32.4","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","575
081","27","3.551","37.0","37.0","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
082","16","3.603","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
084","62","3.685","43.5","50.0","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
085","30","3.818","66.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","086
575","37","3.292","24.3","32.4","24.3","13.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"","575
087","21","3.804","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
088","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","238","3.621","45.4","37.4","13.4","2.9","0.8",".",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614
001","101","3.170","23.8","24.8","32.7","8.9","5.0","2.0","2.0","1.0",".",".",".",".",".",".",".","."
"International Communication","620
001","24","3.313","29.2","25.0","29.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","646
001","45","3.298","22.2","40.0","24.4","11.1",".",".","2.2",".",".",".",".",".",".",".",".","."
"","646
002","54","3.370","31.5","27.8","29.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","Course Total","99","3.337","27.3","33.3","27.3","8.1","3.0",".","1.0",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","33","3.516","39.4","21.2","36.4",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","22","3.114","9.1","45.5","22.7","4.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
001","22","3.500","40.9","31.8","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
093","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","005
699","51","3.441","33.3","29.4","31.4","3.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 230 of 382",""
