"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","",""
"LAW","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Intro-Substan Criminal Law","","Course Total","257","3.457","35.8","24.9","35.0","3.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730","001","28","3.614","35.7","28.6","10.7","3.6",".",".",".","21.4",".",".",".",".",".",".",".","."
"","731","001","97","3.526","40.2","13.4","20.6","2.1","2.1","1.0",".","19.6",".",".",".",".",".",".","1.0","."
"","731","002","63","3.442","27.0","22.2","30.2","3.2",".",".",".","14.3",".",".",".",".",".",".","3.2","."
"Constitutional Law I","","Course Total","160","3.492","35.0","16.9","24.4","2.5","1.3","0.6",".","17.5",".",".",".",".",".",".","1.9","."
"Real Estate Transactions I","732","001","33","3.636","45.5","6.1","9.1",".",".","6.1",".","33.3",".",".",".",".",".",".",".","."
"Trusts and Estates","733","001","149","3.477","28.9","12.1","14.1",".",".","4.0",".","40.9",".",".",".",".",".",".",".","."
"Secured Transactions","736","001","31","3.587","25.8","35.5","12.9",".",".",".",".","25.8",".",".",".",".",".",".",".","."
"","740","001","34","3.533","41.2","14.7","29.4","2.9",".",".",".","8.8",".",".",".",".",".",".","2.9","."
"","740","002","76","3.576","35.5","26.3","11.8","2.6",".","1.3",".","22.4",".",".",".",".",".",".",".","."
"Constitutional Law II","","Course Total","110","3.562","37.3","22.7","17.3","2.7",".","0.9",".","18.2",".",".",".",".",".",".","0.9","."
"","742","001","55","3.571","36.4","3.6","21.8",".","1.8",".",".","36.4",".",".",".",".",".",".",".","."
"","742","002","46","3.526","47.8","2.2","28.3","2.2",".","2.2",".","17.4",".",".",".",".",".",".",".","."
"Taxation I","","Course Total","101","3.545","41.6","3.0","24.8","1.0","1.0","1.0",".","27.7",".",".",".",".",".",".",".","."
"Negotiations","743","001","28","3.241","17.9","28.6","35.7","10.7","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Labor Relations Law","745","001","67","3.508","31.3","26.9","29.9",".",".",".",".","11.9",".",".",".",".",".",".",".","."
"Antitrust","748","001","30","3.593","50.0","10.0","26.7","3.3",".",".",".","10.0",".",".",".",".",".",".",".","."
"Patent Law","751","001","37","3.443","35.1","16.2","40.5","2.7",".",".",".","5.4",".",".",".",".",".",".",".","."
"Equal Employment Law","765","001","49","3.689","51.0","24.5","16.3",".",".",".",".","6.1",".",".",".",".",".",".","2.0","."
"Evidence","801","001","108","3.486","33.3","12.0","16.7","0.9","0.9","1.9","0.9","33.3",".",".",".",".",".",".",".","."
"Civil Procedure II","802","001","70","3.493","44.3","18.6","31.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Administrative Advocacy","813","001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","003","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Appellate Advocacy II","","Course Total","31","3.949","58.1","6.5",".",".",".",".",".","35.5",".",".",".",".",".",".",".","."
"Business Organizations I","817","001","64","3.538","37.5","17.2","25.0","3.1",".",".",".","17.2",".",".",".",".",".",".",".","."
"Conflict of Laws","820","001","42","3.561","47.6","14.3","35.7",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Family Law I","822","001","67","3.408","37.3","14.9","29.9","1.5","4.5","1.5",".","10.4",".",".",".",".",".",".",".","."
"International Law","827","001","62","3.349","24.2","9.7","30.6","3.2",".","1.6",".","29.0",".",".",".",".",".",".","1.6","."
"Jurisprudence","829","001","33","3.742","57.6","24.2","12.1",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"Mod American Legal History","831","001","58","3.543","41.4","13.8","22.4","1.7",".","1.7",".","19.0",".",".",".",".",".",".",".","."
"Taxation II","840","001","21","3.750","47.6","19.0","9.5",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843","001","35","3.563","34.3","37.1","17.1","2.9",".",".",".","8.6",".",".",".",".",".",".",".","."
"Taxation of Trusts&Estates","844","001","10","3.700","30.0","10.0","10.0",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Environ Law & Institutions","848","001","28","3.538","46.4","17.9","21.4","3.6","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"","850","001","28","3.500","50.0","14.3","21.4","3.6","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"","850","002","81","3.347","19.8","39.5","13.6","14.8","1.2",".",".","11.1",".",".",".",".",".",".",".","."
"Professnl Responsibilities","","Course Total","109","3.389","27.5","33.0","15.6","11.9","1.8","0.9",".","9.2",".",".",".",".",".",".",".","."
"","852","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852","002","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852","003","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 311 of 382",""
