"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"421
Processes-Deviant Behavior","001","","99","3.359","18.2","45.5","31.3","4.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"441
Criminology","001","","107","3.417","37.4","29.9","15.0","5.6","7.5","0.9",".","2.8",".",".",".",".",".","0.9",".","."
"475","001","","40","2.725","12.5","10.0","32.5","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"475","003","","35","3.441","40.0","34.3","8.6","11.4",".",".","2.9",".",".",".",".",".",".","2.9",".","."
"Classical Soc Theory","Course Total","","75","3.054","25.3","21.3","21.3","16.0","8.0","5.3","1.3",".",".",".",".",".",".","1.3",".","."
"476
Contemporary Soc Theory","001","","7","2.714","42.9","28.6",".",".",".",".","28.6",".",".",".",".",".",".",".",".","."
"477
Feminism & Sociologicl Thry","001","","23","2.978","39.1","17.4","13.0","4.3","13.0","4.3","8.7",".",".",".",".",".",".",".",".","."
"496
Topics in Sociology","001","","15","3.800","93.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"530","001","","48","2.792","6.3","22.9","27.1","18.8","22.9",".","2.1",".",".",".",".",".",".",".",".","."
"530","002","","59","2.371","10.2","6.8","18.6","18.6","27.1","11.9","5.1",".",".",".",".",".",".",".","1.7","."
"Intro-Social Psychology","Course Total","","107","2.592","8.4","14.0","22.4","18.7","25.2","6.5","3.7",".",".",".",".",".",".",".","0.9","."
"612
Agriculture,Technol&Society","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"622
Adv Topics-Critical Sociol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"624
Political Sociology","001","","16","2.467","18.8","6.3","18.8","12.5","12.5","18.8","6.3","6.3",".",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","22","3.636","45.5","40.9","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"632
Sociology of Organizations","001","","28","3.537","46.4","28.6","7.1","10.7","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"640
Sociology of the Family","001","","87","2.913","14.9","17.2","28.7","23.0","9.2","5.7",".","1.1",".",".",".",".",".",".",".","."
"641
Sociology of Law","001","","94","3.711","57.4","33.0","6.4",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"651
Economic Sociology I","001","","12","3.778","41.7","33.3",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"674
Elem Demographic Techniques","001","","25","3.080","36.0","24.0","12.0","8.0","12.0",".","8.0",".",".",".",".",".",".",".",".","."
"677
Urbanism and Urbanization","001","","24","3.119","16.7","20.8","25.0","16.7","8.3",".",".","8.3",".",".",".",".","4.2",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","30","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","45","3.958","88.9","2.2","2.2",".",".",".",".",".",".",".",".",".","6.7",".",".","."
