"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","176","2.506","8.0","12.5","24.4","10.8","33.0","7.4","3.4","0.6",".",".",".",".",".",".",".","."
"","102
001","14","3.556","21.4","28.6","14.3",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","002
102","14","3.778","42.9","14.3","7.1",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","28","3.667","32.1","21.4","10.7",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","111
001","21","3.725","76.2","4.8","9.5",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"","111
002","20","3.711","80.0","5.0","5.0",".",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"","111
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","55","3.792","83.6","3.6","5.5",".",".","1.8","1.8","3.6",".",".",".",".",".",".",".","."
"","001
125","15","4.000","13.3",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"","125
002","17","4.000","29.4",".",".",".",".",".",".","70.6",".",".",".",".",".",".",".","."
"","125
003","13","4.000","23.1",".",".",".",".",".",".","61.5",".",".",".",".",".",".","15.4","."
"","125
004","15","4.000","40.0",".",".",".",".",".",".","46.7",".",".",".",".",".",".","13.3","."
"Adapted Fitness&Pers Traing","Course Total","60","4.000","26.7",".",".",".",".",".",".","66.7",".",".",".",".",".",".","6.7","."
"","127
001","20","3.056",".","30.0","5.0","5.0",".","5.0",".","55.0",".",".",".",".",".",".",".","."
"","127
002","20","3.000","5.0","5.0",".","15.0",".",".",".","70.0","5.0",".",".",".",".",".",".","."
"","127
003","22","2.958",".","13.6","22.7","18.2",".",".",".","45.5",".",".",".",".",".",".",".","."
"","127
004","23","2.833",".","17.4","21.7","8.7",".",".","4.3","47.8",".",".",".",".",".",".",".","."
"","127
005","21","2.950",".","4.8","33.3","9.5",".",".",".","52.4",".",".",".",".",".",".",".","."
"","127
006","25","3.118","4.0","28.0","20.0","12.0","4.0",".",".","32.0",".",".",".",".",".",".",".","."
"Bowling I","Course Total","131","2.992","1.5","16.8","17.6","11.5","0.8","0.8","0.8","49.6","0.8",".",".",".",".",".",".","."
"","129
001","36","3.891","52.8","8.3","2.8",".",".",".",".","36.1",".",".",".",".",".",".",".","."
"","002
129","31","3.900","41.9","3.2","3.2",".",".",".",".","51.6",".",".",".",".",".",".",".","."
"","129
003","38","3.944","42.1","5.3",".",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","105","3.911","45.7","5.7","1.9",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","26","3.639","34.6","26.9","3.8",".","3.8",".",".","30.8",".",".",".",".",".",".",".","."
"","131
001","20","3.600","25.0","20.0",".",".","5.0",".",".","45.0","5.0",".",".",".",".",".",".","."
"","131
002","14","2.917",".","14.3","14.3","7.1","7.1",".",".","57.1",".",".",".",".",".",".",".","."
"","131
003","20","3.250","15.0","20.0","15.0",".","10.0",".",".","30.0","5.0",".",".",".",".","5.0",".","."
"Cross Traing-Basic Fitness","Course Total","54","3.304","14.8","18.5","9.3","1.9","7.4",".",".","42.6","3.7",".",".",".",".","1.9",".","."
"","132
001","18","3.667","50.0","11.1","11.1",".","5.6",".",".","22.2",".",".",".",".",".",".",".","."
"","132
002","17","3.438","17.6","11.8","11.8","5.9",".",".",".","52.9",".",".",".",".",".",".",".","."
"","003
132","19","3.583","5.3","26.3",".",".",".",".",".","68.4",".",".",".",".",".",".",".","."
"","132
004","15","3.500","20.0","53.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","132
005","20","3.583","25.0","55.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","132
006","20","3.458","10.0","35.0","15.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","132
007","21","3.818","38.1","9.5","4.8",".",".",".",".","47.6",".",".",".",".",".",".",".","."
"","132
008","18","3.567","27.8","38.9","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","009
132","19","3.688","26.3","5.3","10.5",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"","132
010","22","3.147","13.6","13.6","36.4","9.1","4.5",".",".","22.7",".",".",".",".",".",".",".","."
"Weight Training","Course Total","189","3.528","23.3","25.4","13.8","1.6","1.1",".",".","34.9",".",".",".",".",".",".",".","."
"","001
133","22","3.765","40.9","18.2","9.1",".",".",".",".","27.3",".",".",".",".",".",".",".","4.5"
"","002
133","17","3.533","41.2","23.5","17.6",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"","133
003","19","3.647","42.1","31.6","15.8",".",".",".",".","5.3","5.3",".",".",".",".",".",".","."
"","133
004","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","133
005","19","3.719","47.4","26.3","10.5",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 94 of 382"
