"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"609
Spec Topics-Water Chemistry","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618
Topic-Hydraulics&Fluid Mech","002","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"639
Topics-Geotechnical Engr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Highway Bridges","001","","13","3.615","76.9","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"659
Topic-Survey & Photogramtry","002","","6","3.167","16.7",".","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","001","","15","3.727","46.7","13.3","13.3",".",".",".",".","20.0",".",".",".",".",".",".","6.7","."
"698","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","002","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","003","","26","3.731","80.8",".","11.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"698","004","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","Course Total","","62","3.726","64.5","22.6","9.7",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.969","86.7","3.3","3.3",".",".",".",".",".",".",".",".","3.3","3.3",".",".","."
"700
Chemistry of Natural Waters","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Stat Modlng-Hydrolog Systms","001","","11","3.700","63.6","9.1","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"731
Properties of Geosynthetics","001","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"739
Spec Topcs-Geotechncal Engr","001","","10","3.500","40.0","10.0","40.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"740
Matrix Meth-Structural Anal","001","","12","3.333","41.7","16.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"749
Spec Topics-Structural Engr","001","","11","3.364","27.3","18.2","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"758
Img Proc Algrth-Remote Sens","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
"790","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 110 of 382",""
