"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","67","3.858","85.1","6.0","6.0","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","301
002","72","3.250","25.0","34.7","26.4","6.9","2.8","1.4","2.8",".",".",".",".",".",".",".",".","."
"","003
301","154","3.690","64.9","19.5","8.4","3.2","1.9","1.3",".","0.6",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","293","3.620","59.7","20.1","12.3","3.8","2.0","1.0","0.7","0.3",".",".",".",".",".",".",".","."
"","001
320","193","3.615","51.3","27.5","15.0","4.1","1.0","0.5",".","0.5",".",".",".",".",".",".",".","."
"","320
002","147","3.473","43.5","23.8","16.3","14.3","1.4",".",".","0.7",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","340","3.553","47.9","25.9","15.6","8.5","1.2","0.3",".","0.6",".",".",".",".",".",".",".","."
"","321
001","142","3.713","73.2","7.7","12.7",".","4.9","0.7",".","0.7",".",".",".",".",".",".",".","."
"","321
002","78","3.007","16.7","21.8","26.9","17.9","11.5","3.8",".",".",".",".",".",".",".",".",".","1.3"
"Human Develop-Adolescence","Course Total","220","3.470","53.2","12.7","17.7","6.4","7.3","1.8",".","0.5",".",".",".",".",".",".",".","0.5"
"Hum Devel Chldhood-Adolescn","331
001","44","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","4","***","","","","","","","","","","","","","","","",""
"Smr-Research in Ed Psych I","709
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","711
002","14","3.778","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","27","3.952","74.1",".","3.7",".",".",".",".","7.4",".",".",".",".","14.8",".",".","."
"","711
004","8","3.667","62.5",".",".",".","12.5",".",".",".",".",".",".",".","25.0",".",".","."
"","711
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","78","3.904","75.6","10.3","1.3",".","1.3",".",".","2.6",".",".",".",".","9.0",".",".","."
"Prob Solving,Thnkg&Creatvty","001
714","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","760
001","26","3.813","61.5","26.9","3.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","760
002","30","3.732","60.0","16.7","16.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Stat Meth Appl to Educ I","Course Total","56","3.769","60.7","21.4","10.7",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Cognition&Classrm Learng I","795
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Internshp-School Psychology","943
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 92 of 382"
