"Research Nutrition","Course Total","26","",".",".",".",".",".",".",".","80.8",".",".",".","19.2","",".",".",".","."
"","993
002","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","993
008","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Independent Study-Nutrition","Course Total","2","***","","","","","","","","","","","","","","","","",""
"NUTR SCI
694","Dept. Total","672","2.831","15.8","13.7","18.9","10.7","19.3","3.4","1.5","6.1",".","9.5","0.1","0.7","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","95","2.543","11.6","5.3","14.7","14.7","33.7","6.3",".",".",".","13.7",".",".","",".",".",".","."
"Sophomore","","155","2.654","12.9","14.8","14.2","11.6","30.3","3.9","2.6",".",".","9.0",".",".","",".",".",".","0.6"
"Junior","","130","2.594","7.7","12.3","23.1","13.8","23.1","4.6","3.1",".",".","12.3",".",".","",".",".",".","."
"Senior","","181","3.111","21.5","20.4","23.2","9.4","10.5","2.8","0.6","0.6",".","10.5","0.6",".","",".",".",".","."
"Undergraduates","","561","2.776","14.3","14.4","19.3","11.9","22.8","4.1","1.6","0.2",".","11.1","0.2",".","",".",".",".","0.2"
"Special","","12","3.000","25.0",".","16.7","25.0","16.7",".","8.3",".",".","8.3",".",".","",".",".",".","."
"Graduate","","71","3.788","23.9","5.6","4.2","1.4",".",".",".","56.3",".","1.4",".","7.0","",".",".",".","."
"Prof Yr 1","","14","3.250","14.3","28.6","50.0","7.1",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","12","3.408","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","28","3.320","21.4","25.0","50.0","3.6",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","672","2.831","15.8","13.7","18.9","10.7","19.3","3.4","1.5","6.1",".","9.5","0.1","0.7","",".",".",".","0.1"
