"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"105","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","7","3.722","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"411
Psychosocial Aspects-Pharm","001","","125","3.368","28.8","36.8","20.8","8.0","4.8","0.8",".",".",".",".",".",".",".",".",".","."
"510
Marketng&Econ Aspects-Pharm","001","","99","2.914","14.1","24.2","27.3","15.2","14.1","2.0","3.0",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","38","3.250","21.1","21.1","47.4","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"622
Prosem:Social & Behav Phcy","001","","8","3.500",".","12.5",".",".",".",".",".","37.5",".",".",".",".","50.0",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","3.900","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
