"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","143","2.444","16.8","4.9","26.6","1.4","32.9","11.2","6.3",".",".",".",".",".",".",".",".","."
"","002
201","46","2.467","10.9","8.7","26.1","6.5","32.6","13.0","2.2",".",".",".",".",".",".",".",".","."
"Statics","Course Total","189","2.450","15.3","5.8","26.5","2.6","32.8","11.6","5.3",".",".",".",".",".",".",".",".","."
"","202
001","22","2.932","18.2","22.7","18.2","9.1","31.8",".",".",".",".",".",".",".",".",".",".","."
"","202
002","20","3.000","25.0","15.0","20.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","202
003","19","3.053","15.8","26.3","26.3","15.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"","202
004","17","3.029","23.5","17.6","29.4","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","78","3.000","20.5","20.5","23.1","15.4","17.9","2.6",".",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","20","3.100","5.0","25.0","60.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","001
303","19","3.368","57.9","5.3","21.1","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","002
303","19","3.132","42.1","15.8","15.8","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","303
003","11","2.864","9.1","18.2","45.5","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","49","3.163","40.8","12.2","24.5","8.2","6.1","4.1","4.1",".",".",".",".",".",".",".",".","."
"","304
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","9","2.667",".","22.2","44.4","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"","307
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","6","2.667",".",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","6","2.833",".","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","2.389","11.1",".",".","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","307
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","8","3.188","12.5","12.5","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","43","2.651","7.0","14.0","20.9","37.2","14.0","4.7","2.3",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","16","2.844","12.5","12.5","31.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","2","***","","","","","","","","","","","","","","","",""
"Adv Mech of Materials I","506
001","34","3.265","26.5","26.5","26.5","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","32","2.547","9.4","6.3","25.0","28.1","21.9","6.3","3.1",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","21","2.905","19.0","9.5","42.9","9.5","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Astrodynamics","550
001","23","2.783","13.0","17.4","17.4","34.8","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","15","2.733","6.7","13.3","40.0","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","601
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","7","3.667","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","12","3.045","25.0",".","41.7","8.3","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","8","3.188","12.5","37.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
