"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","73","3.529","39.7","32.9","19.2","2.7",".",".","1.4","4.1",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","314","3.290","20.1","36.0","27.7","10.2","2.2","0.3","0.6","1.9",".",".",".",".",".",".","0.6","0.3"
"Invasions&Empires:Cent Asia","106","001","58","3.491","39.7","25.9","27.6","1.7","3.4",".",".",".",".",".",".",".",".","1.7",".","."
"The Ancient Mediterranean","110","001","89","3.496","34.8","34.8","21.3","2.2","3.4",".",".","1.1",".",".",".",".",".",".","1.1","1.1"
"Medieval Europe 410-1500","115","001","72","3.199","25.0","22.2","22.2","16.7","5.6",".","1.4","6.9",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","71","3.188","16.9","25.4","35.2","12.7","2.8",".","1.4","5.6",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","67","3.103","13.4","26.9","35.8","14.9","4.5",".","1.5","3.0",".",".",".",".",".",".",".","."
"English History to 1688","123","001","68","2.941","7.4","22.1","33.8","17.6","13.2","1.5",".","1.5",".",".",".",".",".",".",".","2.9"
"Directed Study","199","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","13","3.625","38.5","38.5","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","200","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Studies","","Course Total","18","3.265","27.8","33.3","22.2","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","50","3.284","20.0","42.0","24.0","2.0","4.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","34","3.212","32.4","8.8","41.2","2.9","8.8","2.9",".","2.9",".",".",".",".",".",".",".","."
"Intro to Modern Jewish Hist","220","001","64","3.218","21.9","26.6","31.3","9.4","6.3","1.6",".",".",".",".",".",".",".","3.1",".","."
"Colonial Latin America","241","001","35","3.015","20.0","17.1","37.1","8.6","8.6","2.9","2.9",".",".",".",".",".",".",".",".","2.9"
"Col,Natn&Minrty:PuertoRican","243","001","70","3.436","27.1","44.3","20.0","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","58","3.564","46.6","29.3","13.8","6.9","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"American Business History","247","001","64","2.972","14.1","12.5","46.9","15.6","6.3","4.7",".",".",".",".",".",".",".",".",".","."
"American South, 1793-1906","258","001","70","3.014","27.1","12.9","28.6","12.9","11.4","2.9","2.9","1.4",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","41","3.475","39.0","26.8","22.0","7.3","2.4",".",".",".",".",".",".",".",".",".","2.4","."
"Africa: Introductory Survey","277","001","45","2.789","8.9","24.4","24.4","17.8","17.8","4.4","2.2",".",".",".",".",".",".",".",".","."
"Medvl Crusade: Fact&Fantasy","309","001","49","3.655","57.1","10.2","12.2","6.1","2.0",".",".","8.2",".",".",".",".",".","4.1",".","."
"The Vietnam Wars","319","001","148","3.539","34.5","42.6","16.9","0.7",".",".","1.4","3.4",".",".",".",".",".","0.7",".","."
"Sci Revol:Copernicus-Newton","323","001","13","2.800","30.8",".","7.7","15.4","15.4",".","7.7","15.4",".",".",".",".",".",".","7.7","."
"Hist-China 1400 BC-589 AD","336","001","19","3.713","68.4","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Colonial British North Amer","343","001","21","2.690","4.8","19.0","33.3","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","138","3.268","22.5","29.7","34.1","6.5","2.9","1.4","0.7","2.2",".",".",".",".",".",".",".","."
"Eighteenth Century Europe","352","001","67","2.905","7.5","16.4","40.3","25.4","4.5",".","3.0",".",".",".",".",".",".",".","1.5","1.5"
"Europe Betwn Wars,1919-1939","356","001","70","3.078","11.4","40.0","22.9","10.0","10.0",".","2.9","2.9",".",".",".",".",".",".",".","."
"History-Europe Since 1945","359","001","77","2.897","10.4","18.2","37.7","11.7","13.0","1.3","2.6","5.2",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","147","3.199","25.9","23.8","21.8","9.5","8.2","2.0","0.7","5.4","0.7",".",".",".",".","0.7","0.7","0.7"
"Roots-Christian Monasticism","366","001","33","3.122","15.2","33.3","15.2","18.2","6.1","3.0",".","6.1",".",".",".",".",".",".","3.0","."
"History of Africa to 1500","376","001","34","2.707","2.9","11.8","29.4","32.4","20.6",".",".","2.9",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","75","3.327","17.3","32.0","45.3","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"Jefferson&Jackson,1789-1848","391","001","69","3.377","30.4","31.9","26.1","8.7","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","68","3.462","27.9","38.2","23.5","4.4",".",".",".","5.9",".",".",".",".",".",".",".","."
"The US Since 1945","398","001","144","3.071","13.9","25.0","37.5","16.7","3.5","2.1","0.7","0.7",".",".",".",".",".",".",".","."
"Amer Urban Hist 1620-1870","401","001","46","3.126","15.2","28.3","32.6","17.4","4.3","2.2",".",".",".",".",".",".",".",".",".","."
