"LANGUAGES AND CULTURES O Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","","",""
"Elem Hindi-Urdu Intensive","101","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","105","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Sem Pilipino/Tagalog","107","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","115","001","","9","3.063",".","33.3","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1"
"3rd Semstr Pilipino/Tagalog","207","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","","7","3.375",".","42.9","14.3",".",".",".",".","14.3",".",".",".",".","28.6",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Hindi-Urdu Intensive","301","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Telugu Intensive","303","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Hindi","307","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Hindi","309","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Indonesian","311","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","313","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","315","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Sanskrit","319","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","326","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","331","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semstr Pilipino/Tagalog","333","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Indonesian","337","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Nepali-Intensive","339","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Urdu","345","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Telugu","349","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Advanced Urdu","359","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Arts of India","362","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Buddhist Thought","365","001","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Islam: Religion and Culture","370","001","","11","3.300","18.2","45.5","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Sanskrt-Tibtn Buddhst Texts","374","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Literary Tibetan","375","001","","8","3.313","37.5","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Indonesian","403","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Nepali","414","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Semstr Pilipino/Tagalog","417","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Relig Ancient India-Vedic","418","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang&Society-Southeast Asia","441","001","","8","3.125","12.5","50.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Thai","446","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Medieval India","448","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Contemp Buddhism","461","001","","7","3.600","14.3","57.1",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Buddhist Lit","476","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
