"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103
The Evolving Universe","001","","130","2.587","20.8","3.8","25.4","2.3","30.8","10.8","3.1","1.5",".",".",".",".",".",".",".","1.5"
"104","001","","136","2.875","25.7","16.9","16.9","16.9","15.4","1.5","6.6",".",".",".",".",".",".",".",".","."
"104","002","","149","2.925","20.8","6.7","34.9","13.4","20.8","2.0",".","0.7",".",".",".",".",".",".",".","0.7"
"Exploration of Solar System","Course Total","","285","2.901","23.2","11.6","26.3","15.1","18.2","1.8","3.2","0.4",".",".",".",".",".",".",".","0.4"
"114","001","","23","3.565","60.9",".","34.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"114","002","","23","3.370","60.9",".","21.7","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"114","003","","20","3.526","55.0",".","35.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"114","004","","23","3.804","78.3","4.3","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"114","005","","23","3.217","56.5",".","17.4",".","21.7",".","4.3",".",".",".",".",".",".",".",".","."
"114","006","","18","3.500","50.0",".","38.9","5.6",".",".",".",".",".",".",".",".",".","5.6",".","."
"Hands on the Solar System","Course Total","","130","3.496","60.8","0.8","26.9","1.5","6.9",".","1.5","0.8",".",".",".",".",".","0.8",".","."
"150
Topics in Astronomy","001","","37","3.100","27.0","10.8","27.0","18.9","8.1","2.7",".","2.7",".",".",".",".",".","2.7",".","."
"160
Life in the Universe","001","","123","3.120","23.6","13.8","40.7","4.1","10.6","0.8","1.6","4.1",".",".",".",".",".",".","0.8","."
"310
Stellar Astrophysics","001","","12","3.167","33.3","8.3","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"340
Solar System Astrophysics","001","","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"700
Basic Astrophysics","001","","7","3.477","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".","6.3",".",".","."
