"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.850","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","215","3.167","28.4","12.1","37.7","7.9","11.2","1.4",".","0.5",".",".",".",".",".","0.5",".","0.5"
"507
General Biochemistry I","001","","152","2.985","28.9","15.8","20.4","11.2","12.5","3.9","5.3","2.0",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","17","3.406","23.5","41.2","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"511","001","","7","3.357","42.9","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","34","3.779","73.5","14.7","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"601
Protein&Enzyme Struct&Funct","001","","73","3.368","23.3","39.7","30.1","2.7",".","2.7",".",".",".",".",".",".",".",".","1.4","."
"612
Prokaryotic Molecular Biol","001","","28","3.321","14.3","35.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","24","3.182",".","33.3","58.3",".",".",".",".",".",".",".",".",".","4.2",".","4.2","."
"651
Biochemical Methods","001","","56","2.804","28.6","7.1","12.5",".","51.8",".",".",".",".",".",".",".",".",".",".","."
"660
Biochemical Techniques","001","","29","3.750","69.0","13.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"692
Senior Thesis","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 11 of 382"
