"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","940
003","26","3.139","15.4","26.9","19.2",".",".","3.8","3.8","30.8",".",".",".",".",".",".",".","."
"","940
004","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","005
940","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
940","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","17","3.867","70.6","11.8","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","940
008","19","3.618","42.1","26.3","21.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","940
009","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","20","3.579","45.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","940
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
015","23","3.543","26.1","56.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","018
940","16","3.375","31.3","12.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
940","24","3.542","29.2","50.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
020","10","3.100","20.0","10.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","940
021","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
940","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","940
023","8","2.875","12.5",".","62.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","940
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
025","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
026","12","3.783","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
027","13","3.550","30.8","23.1","23.1",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","940
028","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","030
940","23","3.786","65.2","13.0","13.0",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","940
031","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
032","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","410","3.622","49.0","22.9","19.5","1.0","0.7","0.2","0.2","6.1",".",".",".",".",".",".","0.2","."
"Problems-Poverty Law Smr","951
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","953
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Economics-Seminar","974
001","12","3.818","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Latin Amer Legal Institutns","982
001","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Probs in Consumer Law-Smr","985
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","988
001","14","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","988
002","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Probs-Envrnmtl Law","Course Total","21","3.850","66.7","4.8","9.5",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"","990
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 313 of 382",""
