"Independent Reading & Rsch","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Practices in Art Ed","900
001","8","3.938","87.5","12.5",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Seminar in Art Education","951
001","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Independent Reading","999
061","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ART ED
176","Dept. Total","126","3.869","75.4","21.4","3.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","3.750","50.0","50.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","83","3.883","75.9","21.7","2.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","87","3.878","74.7","23.0","2.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","29","3.810","72.4","20.7","6.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","10","3.946","90.0","10.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","126","3.869","75.4","21.4","3.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
