"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"","101","001","94","3.606","45.7","34.0","17.0","2.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","101","002","25","3.140","16.0","36.0","16.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Woman-Western Culture","","Course Total","119","3.508","39.5","34.5","16.8","6.7","2.5",".",".",".",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","101","3.144","16.8","25.7","38.6","14.9","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","377","3.336","24.4","40.6","21.8","6.9","3.2","1.6","0.5","0.5",".",".",".",".",".","0.5",".","."
"Women in Russn Lit in Trans","205","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","22","3.227","31.8","27.3","18.2","18.2",".",".","4.5",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","26","3.188","19.2","26.9","34.6","7.7",".",".","3.8","7.7",".",".",".",".",".",".",".","."
"","223","001","35","3.100","11.4","31.4","37.1","11.4","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","223","002","37","2.919","5.4","27.0","37.8","16.2","10.8",".","2.7",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","","Course Total","72","3.007","8.3","29.2","37.5","13.9","8.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"Women in Literature","250","001","25","3.396","32.0","36.0","24.0",".",".",".","4.0",".",".",".",".",".",".",".","4.0","."
"Lt Trn:Fr Wom Writers Today","251","001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Society","320","001","15","3.036","26.7","20.0","26.7",".","13.3",".","6.7",".",".",".",".",".",".","6.7",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","22","3.159","18.2","31.8","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","32","3.250","31.3","28.1","25.0","3.1","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","6","3.553","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","54","3.696","75.9","1.9","14.8",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","39","3.324","30.8","38.5","12.8","7.7",".",".","5.1","2.6",".",".",".",".",".",".","2.6","."
"Feminism&Soc&Culturl Theory","449","001","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology and Gender","530","001","44","3.116","27.3","9.1","40.9","4.5","13.6","2.3",".","2.3",".",".",".",".",".",".",".","."
"Gender and Education","560","001","24","3.500","41.7","37.5","12.5",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"","595","001","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","595","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian Amer Women Writers","","Course Total","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Senior Thesis I","691","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Women and Mental Health","820","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
