"Global Issues in Management","","","","","","","","","","","","","","","","","","","","","","","",""
"Global Marketing","420
002","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","745
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Rdg & Rsch-Internal Bus","799
135","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","527","3.029","33.8","13.7","20.3","15.4","14.4","1.9","0.6","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","1.833",".",".",".","33.3","33.3","33.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","64","2.934","20.3","12.5","25.0","23.4","17.2","1.6",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","268","3.057","39.2","12.7","18.3","14.9","13.1","1.5","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","180","3.040","31.1","16.1","20.6","13.3","16.1","1.7","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","515","3.026","33.8","13.8","19.8","15.5","14.8","1.7","0.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.188","37.5","12.5","37.5",".",".","12.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","3.167","33.3",".","33.3","33.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","527","3.029","33.8","13.7","20.3","15.4","14.4","1.9","0.6","",".","",".",".","",".","",".","",".",".",".","."
