"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","","107","2.916","15.9","23.4","25.2","17.8","11.2","3.7","2.8",".",".",".",".",".",".",".",".","."
"","153
001","","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","153
002","","13","3.231","38.5","7.7","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","Course Total","","25","3.240","32.0","16.0","28.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210
001","","13","3.269","23.1","38.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","","15","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221
001","","74","2.959","16.2","23.0","31.1","9.5","13.5","6.8",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","","22","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","","12","3.500","33.3","25.0","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Textile Dsgn:Print & Dye I","001
227","","15","3.367","33.3","26.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228
001","","11","3.455","45.5","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","14","3.393","42.9","35.7","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","001
253","","12","3.083","8.3","16.7","66.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","10","3.100","10.0","40.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","Course Total","","22","3.091","9.1","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","299
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.679","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","001
320","","15","3.167","13.3","40.0","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322
001","","25","3.160","16.0","16.0","52.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
323","","9","3.278","22.2","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","Course Total","","20","3.500","35.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355
001","","34","3.191","32.4","8.8","38.2","5.9","14.7",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363
001","","11","3.000","9.1","54.5","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421
001","","23","3.043","21.7","17.4","34.8","17.4","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","425
001","","10","3.450","20.0","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","9","3.444","55.6","22.2",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design II","Course Total","","19","3.447","36.8","42.1","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428
001","","13","3.423","30.8","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","","11","3.318","27.3","36.4","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","16","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
501","","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","56","3.535","53.6","17.9","17.9","5.4",".",".",".","5.4",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","601
015","","16","3.914","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Interior Design IV","623
001","","19","3.184","21.1","26.3","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 141 of 382",""
