"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","3.688","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411","001","","20","3.000","20.0","20.0","25.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","411","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","411","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","411","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","","Course Total","","26","2.900","19.2","19.2","23.1","15.4","11.5","3.8","3.8",".",".",".",".",".",".",".","3.8","."
"Electromag Wave Transmissn","420","001","","24","3.083","20.8","20.8","25.0","20.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","427","001","","30","3.250","26.7","16.7","26.7","6.7","10.0",".",".","13.3",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","61","3.225","26.2","16.4","39.3","8.2","8.2",".",".","1.6",".",".",".",".",".",".",".","."
"Analog Communicatn Systems","436","001","","20","3.026","25.0","10.0","25.0","15.0","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444","001","","13","3.038","23.1","15.4","30.8","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","29","3.328","41.4","10.3","27.6","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","15","3.300","26.7","20.0","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","27","3.796","63.0","33.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Discrete-Time Sys:Anal&Cntl","516","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Image Processing","533","001","","41","3.195","46.3","4.9","22.0","9.8","12.2","2.4","2.4",".",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536","001","","16","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Analg MOS Integrtd Cir Dsgn","541","001","","16","3.167","25.0","25.0","18.8","6.3","18.8",".",".","6.3",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548","001","","11","3.600","36.4","36.4","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","552","001","","37","3.108","21.6","27.0","13.5","27.0","10.8",".",".",".",".",".",".",".",".",".",".","."
"","552","002","","23","2.891","13.0","13.0","52.2","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","60","3.025","18.3","21.7","28.3","20.0","8.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","","47","3.000","14.9","34.0","25.5","8.5","8.5","6.4","2.1",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","22","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Superconductivity","562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","001","","36","3.114","16.7","22.2","36.1","11.1","11.1",".",".",".",".",".",".",".",".",".","2.8","."
"Spec Topics-Elec&Comptr Eng","602","001","","21","3.714","76.2",".","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
