"","990
035","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
037","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","52","",".",".",".",".",".",".",".","69.2","5.8",".",".","25.0","",".",".",".","."
"HORT
476","Dept. Total","306","3.234","28.8","21.9","15.0","7.5","4.9","1.0","2.3","13.1","1.0",".",".","4.2","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","2.869","15.8","31.6","15.8","21.1","5.3","5.3","5.3",".",".",".",".",".","",".",".",".","."
"Sophomore","","50","3.116","26.0","22.0","30.0","10.0","6.0","2.0","4.0",".",".",".",".",".","",".",".",".","."
"Junior","","38","3.252","39.5","21.1","13.2","13.2","10.5","2.6",".",".",".",".",".",".","",".",".",".","."
"Senior","","94","3.299","37.2","29.8","13.8","9.6","4.3",".","3.2","1.1",".",".",".",".","",".","1.1",".","."
"Undergraduates","","201","3.196","32.8","26.4","17.9","11.4","6.0","1.5","3.0","0.5",".",".",".",".","",".","0.5",".","."
"Special","","2","2.750",".","50.0",".",".","50.0",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","103","3.423","21.4","12.6","9.7",".","1.9",".","1.0","37.9","2.9",".",".","12.6","",".",".",".","."
"","Dept. Total","306","3.234","28.8","21.9","15.0","7.5","4.9","1.0","2.3","13.1","1.0",".",".","4.2","",".","0.3",".","."
