"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"","103","001","268","3.026","22.0","21.3","20.5","19.8","13.4","2.2","0.7",".",".",".",".",".",".",".",".","."
"","103","002","225","3.029","19.6","20.4","28.0","16.4","12.0","2.7","0.4","0.4",".",".",".",".",".",".",".","."
"General Physics","","Course Total","493","3.027","20.9","20.9","23.9","18.3","12.8","2.4","0.6","0.2",".",".",".",".",".",".",".","."
"General Physics","104","001","187","2.920","21.4","13.4","31.6","8.0","20.9","3.2","1.6",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","183","3.264","27.3","19.7","40.4","6.6","4.4",".","1.1",".",".",".",".",".",".",".","0.5","."
"","109","001","93","2.908","15.1","12.9","35.5","18.3","14.0","2.2","1.1","1.1",".",".",".",".",".",".",".","."
"","109","002","81","3.105","28.4","11.1","25.9","22.2","12.3",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","174","3.000","21.3","12.1","31.0","20.1","13.2","1.1","0.6","0.6",".",".",".",".",".",".",".","."
"Energy","115","001","22","3.432","18.2","50.0","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","153","2.811","11.1","17.6","24.2","22.2","19.6","3.9",".","0.7",".",".",".",".","0.7",".",".","."
"","201","002","175","2.960","18.3","18.3","29.1","18.3","12.0","1.7","2.3",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","328","2.891","14.9","18.0","26.8","20.1","15.5","2.7","1.2","0.3",".",".",".",".","0.3",".",".","."
"","202","001","210","2.913","15.2","15.7","26.7","23.3","16.2","1.9",".","1.0",".",".",".",".",".",".",".","."
"","202","002","198","2.865","12.6","18.2","25.3","22.7","17.7","3.0",".",".",".",".",".",".",".",".",".","0.5"
"General Physics","","Course Total","408","2.890","14.0","16.9","26.0","23.0","16.9","2.5",".","0.5",".",".",".",".",".",".",".","0.2"
"Mod Physics for Engineers","205","001","25","2.854","16.0","4.0","20.0","48.0","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"General Physics","207","001","185","2.781","15.7","17.3","16.2","16.8","30.3","3.8",".",".",".",".",".",".",".",".",".","."
"General Physics","208","001","89","3.096","25.8","14.6","28.1","18.0","12.4","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","39","3.128","33.3","12.8","23.1","17.9","10.3",".","2.6",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","38","2.842","21.1","10.5","13.2","26.3","28.9",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247","001","25","3.729","72.0","4.0","12.0","8.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"","307","001","10","3.222","30.0","40.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","10.0"
"","307","004","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","005","12","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","","Course Total","29","3.464","24.1","62.1","6.9",".",".",".","3.4",".",".",".",".",".",".",".",".","3.4"
"Mechanics","311","001","28","2.625","10.7","14.3","32.1","3.6","28.6","7.1","3.6",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321","001","10","3.200","20.0","60.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322","001","18","3.000","27.8","16.7","27.8","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","406","001","18","3.943","83.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Thermal Physics","415","001","18","2.972","27.8","5.6","33.3","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448","001","32","3.000","21.9","18.8","31.3","6.3","18.8",".","3.1",".",".",".",".",".",".",".",".","."
"Radioisotopes-Med & Biology","463","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","498","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Radiolgcal Physcs&Dosimetry","501","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Physics","505","001","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Introduction to Plasmas","525","001","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Intro-Particle Physics","535","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 262 of 382",""
