"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","91","2.747","11.0","18.7","28.6","20.9","11.0","5.5","4.4",".",".",".",".",".",".",".",".","."
"","002
275","52","3.230","21.2","28.8","25.0","15.4","5.8",".",".",".",".",".",".",".",".",".","3.8","."
"Consumer Finance","Course Total","143","2.918","14.7","22.4","27.3","18.9","9.1","3.5","2.8",".",".",".",".",".",".",".","1.4","."
"Retailing Theory & Practice","357
001","42","3.381","21.4","47.6","28.6",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","13","3.192","15.4","30.8","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","34","3.235","11.8","38.2","38.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","38","3.105","18.4","13.2","44.7","18.4","5.3",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","42","3.321","38.1","21.4","23.8","9.5","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","25","3.360","32.0","32.0","28.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","35","3.871","77.1","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","17","3.176","23.5","23.5","35.3","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","37","3.203","29.7","18.9","29.7","10.8","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","22","3.889","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","34","2.868","5.9","38.2","17.6","23.5","5.9","5.9","2.9",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","49","3.306","28.6","34.7","20.4","10.2","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","35","3.443","17.1","54.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
005","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Study","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CNSR SCI
271","Dept. Total","596","3.229","27.2","27.3","25.2","10.2","4.5","1.7","1.3","1.0",".","1.0",".","0.2",".",".","0.3","."
