"","990
052","","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
055","","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
056","","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","","24","",".",".","",".",".","",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"PATH
704","Dept. Total","","36","3.897","22.2","5.6","",".",".","",".","",".","",".","66.7",".",".",".","",".","",".",".",".","5.6"
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","","5","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Special","","","2","",".",".","",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","100.0"
"Graduate","","","34","3.800","8.8","5.9","",".",".","",".","",".","",".","85.3",".",".",".","",".","",".",".",".","."
"","Dept. Total","","41","3.897","19.5","4.9","",".",".","",".","",".","",".","70.7",".",".",".","",".","",".",".",".","4.9"
