"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","101","2.861","15.8","17.8","26.7","15.8","18.8","3.0","2.0",".",".",".",".",".",".",".",".","."
"","100","002","99","2.995","21.2","23.2","20.2","20.2","5.1","9.1",".",".",".",".",".",".",".",".","1.0","."
"General Geology","","Course Total","200","2.927","18.5","20.5","23.5","18.0","12.0","6.0","1.0",".",".",".",".",".",".",".","0.5","."
"General Geology","101","002","77","2.851","18.2","24.7","18.2","13.0","18.2","2.6","5.2",".",".",".",".",".",".",".",".","."
"","102","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Survey of Oceanography","105","001","26","3.373","42.3","19.2","11.5","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".","3.8"
"Environmental Geology","106","001","89","2.920","23.6","1.1","51.7","1.1","13.5","2.2","4.5",".",".",".",".",".",".","1.1",".","1.1"
"Life of the Past","107","001","39","2.987","33.3","10.3","12.8","12.8","25.6",".","2.6",".",".",".",".",".",".","2.6",".","."
"Geology of National Parks","109","001","61","3.098","29.5","14.8","27.9","11.5","13.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","198","2.612","14.6","0.5","43.9","1.0","27.8","9.6","2.0",".",".",".",".",".",".",".",".","0.5"
"Volcanoes and Civilization","111","001","154","2.993","24.7","16.9","17.5","14.3","17.5","2.6","1.3","1.3",".",".",".",".",".","3.2",".","0.6"
"Directed Study","199","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","66","3.076","22.7","18.2","34.8","9.1","12.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","15","3.000","33.3","6.7","33.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Introductory Geochemistry","375","001","6","2.667",".","33.3","50.0",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Topics in Geology","376","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411","001","8","3.143","12.5","50.0",".",".","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"Paleobiology","541","001","20","3.211","40.0","5.0","20.0","15.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","15","3.357","46.7","6.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".","6.7","."
"Geochronology & Timescales","610","001","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","16","3.094","12.5","25.0","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Advanced Hydrogeology","727","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Carbonate Sedimentology","731","001","12","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marine Paleoecology","743","001","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Metamorphic Petrology","772","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electron Microprobe Anal","777","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics of the Earth II","796","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 208 of 382",""
