"","990
033","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
034","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","15","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"Independent Research","999
024","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"L SC COM
120","Dept. Total","475","3.544","46.7","25.1","15.8","3.6","1.9","0.8","0.4","3.4",".","0.8",".","",".","0.6","0.8",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","3.579","50.9","25.0","14.8","7.4","1.9",".",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","25","3.143","32.0","24.0","20.0","8.0","4.0","4.0","4.0",".",".",".",".","",".","4.0",".",".","."
"Junior","","110","3.467","40.0","30.0","22.7","2.7","1.8","1.8",".",".",".",".",".","",".","0.9",".",".","."
"Senior","","170","3.553","47.6","29.4","15.3","1.8","2.4","0.6","0.6",".",".",".",".","",".",".","2.4",".","."
"Undergraduates","","413","3.513","45.5","28.1","17.4","3.9","2.2","1.0","0.5",".",".",".",".","",".","0.5","1.0",".","."
"Special","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Graduate","","60","3.884","56.7","3.3","3.3","1.7",".",".",".","26.7",".","6.7",".","",".","1.7",".",".","."
"","Dept. Total","475","3.544","46.7","25.1","15.8","3.6","1.9","0.8","0.4","3.4",".","0.8",".","",".","0.6","0.8",".","."
