"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","11","3.300","45.5","18.2","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","9.1"
"","101
002","","12","3.250","25.0","33.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","23","3.273","34.8","26.1","21.7",".","8.7",".","4.3",".",".",".",".",".",".",".",".","4.3"
"","102
001","","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","102
002","","12","3.455","41.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","8.3","."
"Beginning Class Piano","Course Total","","20","3.500","40.0","20.0","20.0","10.0",".",".",".","5.0",".",".",".",".",".",".","5.0","."
"","103
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
002","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","14","3.286","14.3","35.7","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","104
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","147
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
003","","7","3.833","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
201","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","047
201","","7","3.500","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
250","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","251
201","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
252","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
253","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
254","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","52","3.691","61.5","17.3","19.2","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intermed Harpsichard","202
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
045","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
061","","8","3.605","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","205
062","","7","3.813","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
205","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","29","3.746","55.2","31.0","10.3",".",".",".",".",".",".",".",".",".",".",".",".","3.4"
"Elem/Intmed Flute","207
010","","6","3.667","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Element/Intermed Saxophone","050
213","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","11","3.692","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","10","3.536","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227
033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 254 of 382",""
