"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Info Agencies & Their Envir","450","001","","79","3.570","27.8","58.2","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","551","001","","43","3.733","55.8","37.2","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","44","3.341","18.2","47.7","22.7","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","38","3.789","65.8","26.3","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Story Telling & Oral Lit","624","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","629","001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Library/Media Center","641","001","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Cataloging & Classification","651","001","","41","3.750","56.1","34.1","7.3",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Info Services Management","654","001","","31","3.887","77.4","22.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate&Special Info Serv","732","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734","001","","30","3.672","50.0","30.0","16.7",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"Lib Serv-Chldrn&Young Adult","772","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","17","3.794","88.2","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","855","001","","25","3.604","52.0","28.0","8.0",".","8.0",".",".",".",".",".",".",".",".","4.0",".","."
"","855","002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","","Course Total","","34","3.667","55.9","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".","2.9",".","."
"Probs-Archives: Manuscripts","976","001","","7","3.583","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
"","999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
