"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","367
001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","","76","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","","76","3.954","90.8","9.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
003","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","","76","3.928","85.5","14.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","25","3.792","56.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"","370
002","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","","70","3.906","80.0","18.6",".",".",".",".",".",".",".",".",".",".",".",".",".","1.4"
"","371
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","","68","3.919","83.8","16.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","20","3.775","80.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","24","3.896","91.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","","68","3.838","80.9","11.8","4.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","","68","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"School Services-Com Dis","392
001","","69","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Tchg Child Lit-Elem & Middl","422
001","","67","3.828","80.6","13.4","4.5",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
