"Growth&Develpmt Global Econ","374
001","","33","2.864","27.3","9.1","27.3","6.1","21.2","6.1","3.0",".","",".","",".",".","",".","",".","",".",".","."
"Topics in Global Security","601
001","","18","3.444","22.2","55.6","16.7",".","5.6",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Topics-Intl Rel&Environment","611
001","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","","55","3.131","27.3","25.5","23.6","3.6","14.5","3.6","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","19","3.066","21.1","26.3","21.1","5.3","26.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","32","3.148","31.3","25.0","25.0",".","9.4","6.3","3.1","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","52","3.115","26.9","25.0","25.0","1.9","15.4","3.8","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.000",".","50.0",".","50.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","55","3.131","27.3","25.5","23.6","3.6","14.5","3.6","1.8","",".","",".",".","",".","",".","",".",".",".","."
