"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Immigratn&Assimlatn-Am Hist","403
001","137","3.257","29.2","22.6","28.5","7.3","8.8",".","1.5",".",".",".",".",".",".",".","2.2","."
"History-American Education","412
001","70","3.263","12.9","34.3","47.1","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","417
001","83","3.193","27.7","27.7","27.7","4.8","2.4",".","6.0","1.2",".",".",".",".","1.2",".",".","1.2"
"History of Soviet Russia","419
001","68","2.824","13.2","14.7","33.8","16.2","17.6",".","4.4",".",".",".",".",".",".",".",".","."
"History of Medieval India","448
001","57","3.370","31.6","35.1","17.5","8.8","3.5",".","1.8",".",".",".",".",".",".","1.8",".","."
"Anc Japan&Courtly Society","453
001","33","2.958","6.1","24.2","36.4","12.1","9.1","3.0",".",".",".",".",".",".",".",".","6.1","3.0"
"Hist Southeast Asia to 1800","457
001","29","3.414","31.0","20.7","31.0","6.9",".",".",".","3.4",".",".",".",".",".","6.9",".","."
"Topics in S Asian History","463
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Economy to 1865","465
001","9","3.412","44.4","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian History","490
001","38","3.143","7.9","42.1","34.2","13.2",".",".","2.6",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","001
504","11","2.727","18.2","9.1","27.3","27.3",".","18.2",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Eur Cultural Hist 1610-1815","512
001","50","2.940","6.0","22.0","30.0","16.0","6.0","4.0",".","8.0",".",".",".",".",".","8.0",".","."
"Hist of Mass Communication","560
001","23","3.182","13.0","21.7","52.2","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","17","3.235","23.5","17.6","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Contemp Scand:Politics&Hist","577
001","16","3.700","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","14","3.357","35.7","35.7","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","600
003","28","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
600","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600
005","15","3.714","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","600
006","14","3.607","57.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","13","3.792","53.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","600
010","15","3.367",".","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
012","10","3.350","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","013
600","11","2.818","18.2","18.2","27.3","18.2",".","18.2",".",".",".",".",".",".",".",".",".","."
"","600
014","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
016","18","3.000","16.7","22.2","38.9","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","170","3.461","37.6","34.1","18.2","5.3","1.2","1.8","0.6",".",".",".",".",".","0.6",".",".","0.6"
"Hist-Civ Rghts Movmnt in US","628
001","35","3.471","51.4","37.1","2.9",".",".","2.9","5.7",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","680
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","Course Total","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 217 of 382",""
