"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","23","2.694","17.4","26.1","26.1","4.3","4.3","13.0","8.7",".",".",".",".",".",".",".",".","."
"","101
002","24","3.396","37.5","20.8","29.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","004
101","22","3.818","77.3","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
005","23","3.196","39.1","26.1","17.4","4.3","4.3",".","8.7",".",".",".",".",".",".",".",".","."
"","101
006","22","2.636","13.6","18.2","27.3","18.2","4.5","9.1","9.1",".",".",".",".",".",".",".",".","."
"","101
007","22","3.364","45.5","18.2","18.2","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","008
101","21","3.050","42.9","9.5","9.5","9.5","14.3","4.8","4.8",".","4.8",".",".",".",".",".",".","."
"","101
009","18","3.306","27.8","33.3","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
011","24","3.271","50.0","12.5","16.7",".","16.7",".","4.2",".",".",".",".",".",".",".",".","."
"","101
012","21","2.775","28.6",".","33.3","4.8","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".","."
"","013
101","23","3.348","43.5","13.0","30.4","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","101
014","24","3.083","25.0","12.5","33.3","12.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"","101
015","23","3.174","21.7","26.1","30.4","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","101
017","23","3.283","21.7","30.4","39.1",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","101
018","22","3.500","59.1","13.6","13.6",".","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"","019
101","23","3.522","60.9","17.4","8.7","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"","101
021","26","3.192","23.1","26.9","26.9","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"","022
101","24","3.667","58.3","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
024","20","3.158","40.0","10.0","15.0",".","30.0",".",".",".",".",".",".",".",".",".",".","5.0"
"First Year Spanish","Course Total","428","3.238","38.6","18.7","21.7","6.5","8.6","2.3","2.6","0.5","0.2",".",".",".",".",".",".","0.2"
"","001
102","24","3.221","33.3","16.7","29.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","102
002","17","3.281","29.4","29.4","11.8","11.8","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","102
003","22","3.000","22.7","18.2","18.2","18.2","9.1",".","4.5","4.5",".",".",".",".",".",".",".","4.5"
"","102
004","22","3.614","45.5","31.8","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","19","3.447","47.4","31.6","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","006
102","24","3.167","20.8","33.3","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","102
007","22","3.727","59.1","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","23","2.717","13.0","13.0","39.1",".","26.1","4.3","4.3",".",".",".",".",".",".",".",".","."
"","102
010","20","3.000","25.0","5.0","45.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","102
011","19","3.421","31.6","42.1","15.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
013","20","3.526","45.0","25.0","15.0","5.0","5.0",".",".",".","5.0",".",".",".",".",".",".","."
"","102
014","21","2.976","19.0","23.8","33.3","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","102
015","20","3.050","20.0","20.0","40.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","102
016","20","3.200","25.0","25.0","30.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","102
017","22","3.318","50.0","4.5","22.7","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","102
018","19","3.053","10.5","21.1","47.4","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
019","22","3.136","9.1","36.4","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
020","24","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
102","24","3.333","29.2","25.0","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","022
102","22","3.045","18.2","22.7","36.4","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","102
023","21","2.905","4.8","28.6","42.9","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","024
102","15","2.867","13.3","26.7","26.7",".","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","102
025","22","2.881","13.6","27.3","22.7","4.5","18.2","9.1",".","4.5",".",".",".",".",".",".",".","."
"","102
026","20","2.325","10.0","10.0","35.0","5.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","504","3.164","26.8","24.0","28.4","6.5","9.1","2.4","1.8","0.6","0.2",".",".",".",".",".",".","0.2"
"","203
001","21","3.500","52.4","4.8","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 291 of 382",""
