"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","38","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
170","16","3.633","56.3","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"","170
004","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
007","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
170","15","3.750","53.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","009
170","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","139","3.752","56.8","36.0","5.0",".","0.7",".",".",".",".",".",".",".",".",".","0.7","0.7"
"","220
001","34","2.632","26.5","14.7","11.8","11.8","14.7","11.8","8.8",".",".",".",".",".",".",".",".","."
"","002
220","55","2.518","16.4","14.5","16.4","20.0","12.7","10.9","9.1",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","89","2.562","20.2","14.6","14.6","16.9","13.5","11.2","9.0",".",".",".",".",".",".",".",".","."
"Circuit Analysis","001
230","86","2.785","20.9","12.8","16.3","20.9","19.8","9.3",".",".",".",".",".",".",".",".",".","."
"","270
001","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","15","3.267","20.0","46.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","64","3.461","31.3","42.2","14.1","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","49","3.888","81.6","14.3","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","001
301","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
313","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
004","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","43","3.919","83.7","16.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","43","3.547","39.5","32.6","25.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","32","3.016","18.8","9.4","40.6","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","320
002","30","2.883","16.7","16.7","30.0","13.3","16.7","6.7",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","Course Total","62","2.952","17.7","12.9","35.5","16.1","14.5","3.2",".",".",".",".",".",".",".",".",".","."
