"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"451","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","","16","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Elem School Dance Stdt Tchg","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477
Mid/Sec Schl Dance Stdt Tch","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Multimedia Sound Design","001","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"560","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"560","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","3","***","","","","","","","","","","","","","","","",""
