"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"545
Intro to Atomic Structure","001","","13","3.750","61.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","7.7","."
"551
Solid State Physics","001","","10","3.500","40.0","20.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","28","3.519","17.9","60.7","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"681
Senior Honors Thesis","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","01","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"711
Theoreticl Physics-Dynamics","001","","38","3.211","23.7","13.2","47.4","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","16","3.406","25.0","31.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Quantum Mechanics","001","","36","3.375","38.9","13.9","36.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"746
Quantum Electronics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Independent Study","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics-Theoretical Physics","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"831
Advanced Quantum Mechanics","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Collider Phys Phenomenology","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 263 of 382",""
