"","990
075","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
081","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
084","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","29","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"PHYSIOL
762","Dept. Total","487","2.817","26.3","2.3","31.6","3.3","22.2","4.9","2.3","7.0",".",".",".","",".","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","101","2.431","12.9",".","32.7","6.9","33.7","9.9","4.0",".",".",".",".","",".","",".",".",".","."
"Junior","","148","2.753","25.7","1.4","36.5","1.4","25.7","6.1","3.4",".",".",".",".","",".","",".",".",".","."
"Senior","","81","3.019","43.2","1.2","32.1","1.2","16.0","3.7","2.5",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","330","2.712","26.1","0.9","34.2","3.0","25.8","6.7","3.3",".",".",".",".","",".","",".",".",".","."
"Special","","12","2.884","41.7",".","16.7","8.3","25.0","8.3",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","54","3.221","11.1","9.3","22.2",".","3.7",".",".","53.7",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","87","3.099","34.5","3.4","31.0","5.7","20.7","1.1",".","2.3",".",".",".","",".","",".",".","1.1","."
"Prof Yr 2","","3","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","91","3.101","34.1","3.3","29.7","5.5","19.8","1.1",".","5.5",".",".",".","",".","",".",".","1.1","."
"","Dept. Total","487","2.817","26.3","2.3","31.6","3.3","22.2","4.9","2.3","7.0",".",".",".","",".","",".",".","0.2","."
