"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","237","2.942","20.3","22.4","21.1","10.5","13.9","3.8","3.4","4.2","0.4",".",".",".",".",".",".","."
"","363
001","44","3.093","31.8","11.4","27.3","15.9","6.8",".","4.5","2.3",".",".",".",".",".",".",".","."
"","363
002","199","2.958","12.6","14.6","33.7","27.6","6.5","1.0","0.5","2.5",".",".",".",".",".","1.0",".","."
"Develp: Adolescence-Old Age","Course Total","243","2.983","16.0","14.0","32.5","25.5","6.6","0.8","1.2","2.5",".",".",".",".",".","0.8",".","."
"Intellect Develop&Preschool","460
001","28","3.685","50.0","35.7","7.1","3.6",".",".",".",".",".",".",".",".",".","3.6",".","."
"Soc&Emotnl Dev-Early Educ","461
001","30","3.650","56.7","36.7","3.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Teaching Laboratory","463
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","30","3.517","30.0","40.0","26.7",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"Parent-Child Relations","471
001","28","3.536","39.3","35.7","21.4",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","001
474","53","3.575","62.3","13.2","11.3","7.5","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"","516
001","29","3.621","41.4","44.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
516","31","3.871","74.2","25.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","60","3.750","58.3","35.0","5.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","54","3.066","18.5","18.5","37.0","9.3","13.0","1.9",".","1.9",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","21","2.833","9.5","4.8","57.1","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564
001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","20","3.575","60.0","25.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","601
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr: Child & Fam Studies","664
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","3.952","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
766","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","32","3.828","71.9","21.9","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 138 of 382",""
