"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"Advanced Topics in Geology","Course Total","","22","4.000","45.5",".",".",".",".",".",".","54.5",".",".",".",".",".",".",".","."
"929
Seminar-Hydrogeology","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"930
Seminar-Stratigraphy","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","8","",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".",".",".","."
"990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","61","",".",".",".",".",".",".",".","72.1","1.6",".",".","26.2",".",".",".","."
"991
Seminar: Geophysics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GEOLOGY
420","Dept. Total","","1179","2.963","23.5","12.6","25.5","8.6","14.3","3.6","1.8","7.6","0.1",".",".","1.4",".","0.6","0.2","0.3"
