"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"","999
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"DS
359","Dept. Total","676","3.230","29.0","24.7","25.7","10.1","6.2","1.5","0.7","1.5",".",".",".","0.3","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","3.110","23.7","27.1","25.4","11.9","5.1","5.1","1.7",".",".",".",".",".",".",".",".","."
"Sophomore","","99","3.022","13.1","31.3","27.3","16.2","9.1","2.0","1.0",".",".",".",".",".",".",".",".","."
"Junior","","188","3.127","24.5","22.9","31.4","11.2","8.0","0.5","1.6",".",".",".",".",".",".",".",".","."
"Senior","","281","3.320","33.1","25.3","25.6","7.8","5.3","1.4",".","1.1",".",".",".",".","0.4",".",".","."
"Undergraduates","","627","3.197","26.5","25.7","27.6","10.5","6.7","1.6","0.8","0.5",".",".",".",".","0.2",".",".","."
"Special","","14","3.833","71.4","7.1",".","7.1",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Graduate","","35","3.797","57.1","14.3","2.9","2.9",".",".",".","17.1",".",".",".","5.7",".",".",".","."
"","Dept. Total","676","3.230","29.0","24.7","25.7","10.1","6.2","1.5","0.7","1.5",".",".",".","0.3","0.3",".",".","."
