"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","4","3.750","75.0",".","25.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","10","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","95","3.576","43.2","25.3","13.7","3.2","1.1","",".","",".","12.6","",".",".","",".","1.1","",".",".",".","."
"Prof Yr 2","10","",".",".",".",".",".","",".","",".","90.0","",".",".","",".","10.0","",".",".",".","."
"Prof Yr 3","299","3.114","6.4","15.7","19.1","5.0","2.7","",".","",".","26.8","",".",".","",".","24.4","",".",".",".","."
"Prof Yr 4","219","4.000","25.6",".",".",".",".","",".","",".","74.4","",".",".","",".",".","",".",".",".","."
"Professionals","623","3.331","18.6","11.4","11.2","2.9","1.4","",".","",".","42.4","",".",".","",".","12.0","",".",".",".","."
