"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.500","52.6","15.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002","18","3.441","44.4","16.7","22.2",".","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","003
101","21","3.447","33.3","23.8","28.6",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"","101
004","22","3.595","54.5","13.6","18.2","9.1",".",".",".",".",".",".",".",".","4.5",".",".","."
"","005
101","22","3.238","27.3","18.2","31.8","9.1","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","101
006","14","3.036","28.6","7.1","50.0",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","101
007","15","3.308","40.0","20.0","6.7","6.7","6.7","6.7",".","13.3",".",".",".",".",".",".",".","."
"First Semester German","Course Total","131","3.383","40.5","16.8","24.4","5.3","6.1","0.8","0.8","4.6",".",".",".",".","0.8",".",".","."
"","102
002","20","2.861","15.0","5.0","45.0","10.0","5.0","10.0",".","5.0",".",".",".",".",".",".","5.0","."
"","102
003","17","2.706",".","17.6","41.2","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","004
102","17","3.500","35.3","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","20","2.850","20.0","30.0","15.0",".","20.0","15.0",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","74","2.972","17.6","21.6","31.1","8.1","10.8","8.1",".","1.4",".",".",".",".",".",".","1.4","."
"","001
111","15","3.607","53.3","6.7","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","002
111","9","3.222","33.3","33.3",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","24","3.457","45.8","16.7","20.8","4.2","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"","203
001","14","3.538","35.7","35.7","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","203
002","21","3.675","52.4","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","203
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","21","3.548","42.9","33.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","18","3.611","66.7","5.6","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
006","22","3.690","59.1","22.7","9.1",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","203
007","19","3.694","47.4","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","138","3.694","59.4","21.7","11.6","2.9","1.4",".",".","2.2",".",".",".",".",".",".","0.7","."
"","204
001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","20","3.250","40.0",".","50.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
003","20","3.450","45.0","20.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
004","17","3.438","58.8",".","23.5",".","5.9","5.9",".","5.9",".",".",".",".",".",".",".","."
"","204
005","21","3.548","38.1","42.9","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","006
204","17","3.324","35.3","17.6","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","204
009","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","126","3.516","52.4","15.1","23.8","1.6","4.8","1.6",".","0.8",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","6","3.000","16.7","16.7",".","16.7","16.7",".",".","33.3",".",".",".",".",".",".",".","."
"","221
001","18","3.088","22.2","16.7","33.3","11.1","5.6","5.6",".",".",".",".",".",".",".",".","5.6","."
"","221
002","16","3.438","50.0","18.8","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","221
003","24","3.375","16.7","45.8","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","58","3.307","27.6","29.3","27.6","6.9","5.2","1.7",".",".",".",".",".",".",".",".","1.7","."
"Intro-German Lit & Culture II","001
222","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
225","18","3.265","22.2","27.8","38.9",".",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","225
003","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","225
004","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
005","18","3.750","66.7","27.8",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","225
006","16","3.188","25.0","25.0","31.3",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","93","3.489","41.9","26.9","23.7","1.1","4.3","1.1",".","1.1",".",".",".",".",".",".",".","."
