"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","12","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","048
100","12","3.000","25.0","41.7","8.3","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"","100
051","13","3.154","7.7","30.8","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","052
100","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","10","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","056
100","7","3.000","14.3",".","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
057","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","14","2.923","7.1","21.4","28.6","21.4","14.3",".",".",".",".",".",".",".",".","7.1",".","."
"","100
060","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","061
100","12","2.875","8.3","33.3","33.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","100
062","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
063","15","3.367","20.0","33.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","789","3.332","20.7","42.3","27.0","6.2","2.2","0.8","0.6",".",".",".",".",".",".","0.1",".","0.1"
"","001
105","16","3.094","6.3","31.3","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","16","3.167","12.5","18.8","50.0","12.5",".",".",".",".",".",".",".",".",".",".","6.3","."
"","003
105","14","3.429","14.3","64.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
105","15","3.167","13.3","33.3","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
005","17","3.029",".","35.3","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","105
006","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","105
007","13","3.083","7.7","38.5","30.8","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"","105
008","18","3.265",".","50.0","44.4",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","105
009","16","3.100",".","31.3","50.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","138","3.190","9.4","35.5","38.4","11.6","1.4","0.7",".","2.2",".",".",".",".",".",".","0.7","."
"Elements of Speech-Honors","181
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","001
250","225","3.005","12.9","23.1","35.6","14.2","10.2","1.3","1.3","0.4",".",".",".",".",".","0.4",".","0.4"
"Communication & Human Behav","260
001","134","3.362","32.8","29.9","26.1","5.2","3.7","1.5","0.7",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","81","3.377","40.7","22.2","18.5","8.6","9.9",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","93","3.151","26.9","19.4","34.4","6.5","9.7","1.1","2.2",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","270
001","90","3.092","11.1","24.4","40.0","13.3","7.8",".",".","3.3",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","210","3.216","22.9","28.6","32.9","8.6","3.3","0.5","2.4",".",".",".",".",".",".","0.5","0.5","."
"Introduction to Film","350
001","170","3.111","14.1","30.6","30.6","15.9","6.5","1.2","0.6",".",".",".",".",".",".",".",".","0.6"
"Introduction to Television","351
001","156","3.153","19.2","26.3","32.1","11.5","8.3","0.6","0.6","0.6",".",".",".",".",".","0.6",".","."
"History of World Cinema","352
001","92","2.489","4.3","13.0","15.2","32.6","26.1","6.5","2.2",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354
001","92","3.087","6.5","30.4","45.7","10.9","5.4","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355
001","134","3.138","6.0","32.8","48.5","9.7","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001","21","3.400","42.9","4.8","33.3","14.3",".",".",".",".",".",".",".",".",".","4.8",".","."
"Quantitatve Rsch-Communictn","361
001","49","3.388","36.7","16.3","36.7","8.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","110","2.893","6.4","22.7","31.8","23.6","9.1","3.6",".","2.7",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371
001","73","3.658","45.2","45.2","6.8","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410
001","29","3.103","24.1","3.4","55.2","10.3","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450
001","65","3.169","15.4","27.7","38.5","12.3","6.2",".",".",".",".",".",".",".",".",".",".","."
"French Film","455
001","21","3.310","23.8","28.6","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457
001","121","3.161","20.7","30.6","26.4","11.6","7.4","3.3",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 175 of 382",""
