"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","3.179","53.3","6.7","13.3",".","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"","101
002","","11","3.636","63.6","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","9","1.813",".","22.2","11.1","11.1","11.1",".","33.3","11.1",".",".",".",".",".",".",".","."
"1st Semester Russian","Course Total","","35","3.000","42.9","14.3","8.6","8.6","5.7","2.9","11.4","5.7",".",".",".",".",".",".",".","."
"1st Semester Polish","111
001","","18","3.794","66.7","16.7","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav101","181
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","15","3.367","40.0","33.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","203
002","","21","3.476","47.6","28.6","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","36","3.431","44.4","30.6","11.1","5.6","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"Third Semester Czech","217
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Russian I","275
001","","16","3.321","43.8","6.3","31.3",".",".",".","6.3","12.5",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav203","283
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem Intensive Serbo-Cr","341
001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Women in Russian Lit","405
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tolstoy","424
001","","8","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Third Semester Intensive Czech","451
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist lit polsk do roku 1863","470
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"18th Century Russian Lit","702
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
001","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","755
002","","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Topics in Slavic Literature","Course Total","","18","3.900","72.2","5.6","5.6",".",".",".",".","11.1",".",".",".",".","5.6",".",".","."
"","799
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Methods-Teachng Slavic Lang","001
818","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Russian","820
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Pre-Soviet 20C Lit","920
001","","16","4.000","56.3",".",".",".",".",".",".","25.0",".",".",".",".","18.8",".",".","."
"","991
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
