"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"","100","001","247","2.893","14.6","16.6","32.4","17.4","13.4","2.0","2.4","0.4",".",".",".",".",".","0.4",".","0.4"
"","100","002","160","2.579","10.0","11.3","21.9","15.6","33.8","3.1","3.1",".",".",".",".",".",".","0.6",".","0.6"
"Weather and Climate","","Course Total","407","2.770","12.8","14.5","28.3","16.7","21.4","2.5","2.7","0.2",".",".",".",".",".","0.5",".","0.5"
"Weather and Climate","101","001","148","3.466","31.8","41.9","14.9","8.8","2.0",".",".","0.7",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","27","3.075","25.9","14.8","33.3","7.4","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","121","001","63","2.952","19.0","17.5","20.6","20.6","19.0","1.6",".",".",".",".",".",".","1.6",".",".","."
"","121","002","40","2.800","5.0","7.5","50.0","22.5","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","","Course Total","103","2.892","13.6","13.6","32.0","21.4","16.5","1.9",".",".",".",".",".",".","1.0",".",".","."
"","152","001","43","3.439","55.8","16.3","11.6","2.3","2.3","2.3","4.7","2.3",".",".",".",".",".","2.3",".","."
"","152","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Weather for Pilots","","Course Total","45","3.453","55.6","17.8","11.1","2.2","2.2","2.2","4.4","2.2",".",".",".",".",".","2.2",".","."
"Global Chg: Atmospheric Iss","171","001","18","3.875","72.2","22.2",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","22","2.886","22.7","13.6","27.3","18.2","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","22","2.886","31.8","9.1","22.7","4.5","22.7","4.5","4.5",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","12","2.667","16.7","25.0",".","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar Meteorology","444","001","20","3.417","35.0","35.0","10.0",".","5.0","5.0",".","10.0",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","22","2.932","22.7","13.6","22.7","9.1","31.8",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","14","3.462","28.6","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Intro to Atm & Ocn Physics","630","001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography","660","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","029","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Circulatn of Atmosphere","712","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Meterologicl Satellite Appl","745","001","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics-Ocean Circulation","761","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Oceanography","960","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","35","",".",".",".",".",".",".",".","91.4",".",".",".","8.6",".",".",".","."
