"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","133","3.090","23.3","12.8","39.8","12.8","8.3","3.0",".",".",".",".",".",".",".",".",".","."
"","002
300","239","3.088","19.2","17.6","40.6","10.9","9.6","2.1",".",".",".",".",".",".",".",".",".","."
"","300
003","198","2.811","11.6","11.6","38.4","19.2","14.6","1.5","3.0",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","570","2.992","17.5","14.4","39.6","14.2","11.1","2.1","1.1",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","001
305","44","3.058","15.9","20.5","34.1","13.6","13.6",".",".","2.3",".",".",".",".",".",".",".","."
"","320
001","86","3.129","26.7","9.3","38.4","11.6","12.8",".",".","1.2",".",".",".",".",".",".",".","."
"","320
002","92","3.212","30.4","14.1","35.9","10.9","7.6",".","1.1",".",".",".",".",".",".",".",".","."
"Investments","Course Total","178","3.172","28.7","11.8","37.1","11.2","10.1",".","0.6","0.6",".",".",".",".",".",".",".","."
"","325
001","60","3.153","26.7","21.7","28.3","11.7","6.7",".","3.3","1.7",".",".",".",".",".",".",".","."
"","325
002","62","3.323","22.6","27.4","43.5","4.8","1.6",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","122","3.240","24.6","24.6","36.1","8.2","4.1",".","1.6","0.8",".",".",".",".",".",".",".","."
"","399
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
128","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","50","3.070","20.0","18.0","28.0","24.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","49","3.490","36.7","36.7","12.2","10.2","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","630
002","53","3.520","43.4","28.3","11.3","11.3","1.9",".",".",".",".",".",".",".","1.9",".",".","1.9"
"Options & Financial Futures","Course Total","102","3.505","40.2","32.4","11.8","10.8","2.0",".",".",".",".",".",".",".","2.0",".",".","1.0"
"Security Analysis","635
001","57","3.158","17.5","24.6","42.1","7.0","7.0","1.8",".",".",".",".",".",".",".",".",".","."
"","700
001","40","3.388","20.0","42.5","32.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","35","3.500","31.4","40.0","25.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","42","3.405","26.2","40.5","21.4","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","117","3.427","25.6","41.0","26.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","18","3.444","27.8","33.3","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","51","3.296","23.5","37.3","27.5","3.9",".",".","3.9","2.0",".",".",".",".",".",".",".","2.0"
"Corporatn Finance Thry&Prac","725
001","31","3.468","22.6","48.4","29.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","28","3.446","32.1","25.0","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","49","3.723","51.0","36.7","8.2",".",".",".",".","2.0",".",".",".",".",".","2.0",".","."
"","765
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","19","3.526","31.6","47.4","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Finance Theory","921
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 51 of 382"
