"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","245","3.153","10.2","30.6","41.2","15.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"","002
300","250","3.131","9.2","28.4","44.0","15.2","2.0","0.4",".",".",".",".",".",".",".","0.8",".","."
"","300
004","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","503","3.153","10.5","29.6","41.9","15.1","2.2","0.2",".",".",".",".",".",".",".","0.4",".","."
"","305
001","55","3.611","41.8","38.2","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","50","3.560","38.0","38.0","22.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
305","49","3.378","10.2","61.2","24.5","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","154","3.521","30.5","45.5","22.1","1.3","0.6",".",".",".",".",".",".",".",".",".",".","."
"","310
001","54","3.378","29.6","25.9","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","310
002","47","3.330","17.0","36.2","42.6","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","101","3.356","23.8","30.7","40.6","2.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
365","9","3.375","22.2","44.4",".","22.2",".",".",".","11.1",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
001","62","3.379","27.4","33.9","25.8","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
415","59","3.190","15.3","27.1","35.6","20.3",".",".",".","1.7",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","121","3.288","21.5","30.6","30.6","16.5",".",".",".","0.8",".",".",".",".",".",".",".","."
"","420
001","54","3.261","20.4","33.3","33.3","11.1",".",".","1.9",".",".",".",".",".",".",".",".","."
"","420
002","40","3.375","17.5","50.0","22.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","94","3.309","19.1","40.4","28.7","10.6",".",".","1.1",".",".",".",".",".",".",".",".","."
"Marketing Channels","425
002","49","3.480","28.6","38.8","32.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","45","3.311","13.3","40.0","42.2","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","460
004","37","3.324","5.4","54.1","40.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","82","3.317","9.8","46.3","41.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
002","60","3.842","70.0","28.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
640","48","3.198","8.3","50.0","25.0","10.4","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","002
640","29","3.224","10.3","37.9","41.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","77","3.208","9.1","45.5","31.2","9.1","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"","700
003","46","3.283","13.0","34.8","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
700","34","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","80","3.413","22.5","40.0","35.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","002
710","39","3.744","51.3","46.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","21","3.333","28.6","19.0","47.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","53","3.557","37.7","35.8","26.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
131","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
500","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","38","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Seminar-Marketing PhD","971
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Marketing","990
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","999
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
