"Individual Research in Lit","Course Total","24","",".",".",".",".",".",".",".","41.7",".",".",".","58.3",".",".",".","."
"","991
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
010","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"GERMAN
424","Dept. Total","993","3.478","43.2","21.8","18.4","4.2","3.9","1.2","0.2","4.0",".",".",".","1.7","0.8",".","0.3","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","336","3.487","44.9","21.1","24.7","5.1","3.0","0.6","0.3",".",".",".",".",".",".",".","0.3","."
"Sophomore","","179","3.412","41.3","24.6","21.2","5.0","5.0","2.2",".",".",".",".",".",".","0.6",".",".","."
"Junior","","129","3.442","44.2","24.8","16.3","2.3","7.8","2.3",".","1.6",".",".",".",".",".",".","0.8","."
"Senior","","166","3.375","34.9","27.7","18.1","6.0","5.4","1.8",".","4.8",".",".",".",".",".",".",".","1.2"
"Undergraduates","","810","3.442","42.0","23.8","21.2","4.8","4.7","1.5","0.1","1.2",".",".",".",".","0.1",".","0.2","0.2"
"Special","","23","3.323","34.8","21.7","8.7","8.7","4.3",".","4.3","17.4",".",".",".",".",".",".",".","."
"Graduate","","160","3.817","50.6","11.3","5.6","0.6",".",".",".","16.3",".",".",".","10.6","4.4",".","0.6","."
"","Dept. Total","993","3.478","43.2","21.8","18.4","4.2","3.9","1.2","0.2","4.0",".",".",".","1.7","0.8",".","0.3","0.2"
