"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","169","2.686","16.0","13.0","21.3","15.4","26.0","4.7","3.6",".",".",".",".",".",".",".",".","."
"132","002","","184","2.599","11.4","14.1","16.3","14.1","35.3","7.1","0.5","0.5",".",".",".",".",".",".",".","0.5"
"Nutrition Today","Course Total","","353","2.641","13.6","13.6","18.7","14.7","30.9","5.9","2.0","0.3",".",".",".",".",".",".",".","0.3"
"200
Prof-Dietetics & Nutrition","001","","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299
Independent Study","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","60","2.867","11.7","18.3","40.0","8.3","16.7","1.7","3.3",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","49","3.102","10.2","36.7","30.6","8.2","14.3",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","54","3.333","37.0","18.5","27.8","11.1","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"634
Clinical Nutri(Affiliation)","001","","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"691
Senior Thesis-Nutrition","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","3.917","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","001","","13","2.769","23.1","7.7","23.1","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","18","3.000","33.3","5.6","27.8","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.000","33.3","5.6","27.8","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","20","4.000","5.0",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
