"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"368
Fundamentals of Directing","001","","26","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Drafting for the Theatre","001","","8","2.923","25.0","25.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"372
Set Design I","001","","19","3.472","26.3","31.6","26.3",".",".",".",".",".",".",".",".",".",".","10.5",".","5.3"
"379
Stage Management","001","","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"450
Acting Styles","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"462
Thtr-Yng Audiences:Productn","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","11","3.200","45.5","9.1","18.2","9.1",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"520
Survey: Theories of Drama","001","","18","3.111","22.2","11.1","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"522
Theatre-Europe:1850-Present","001","","23","3.523","43.5","21.7","26.1",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"542
Movement Styles","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","34","3.823","76.5","14.7","5.9",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"619","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","12","3.938","58.3","8.3",".",".",".",".",".",".",".",".",".","25.0",".",".","8.3","."
"670
Adv Study-Theatre Dsgn&Tech","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Study","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Dsgn & Technlgy Core Curric","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","6","",".",".",".",".",".",".",".","33.3","16.7",".",".","50.0",".",".",".","."
"Research and Thesis","Course Total","","25","",".",".",".",".",".",".",".","76.0","4.0",".",".","20.0",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
