"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"914","009","","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","058","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","15","3.966","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","010","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","021","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","024","","12","3.968","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","59","3.987","94.9","1.7","1.7",".",".",".",".",".",".",".",".","1.7",".",".",".","."
"924","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Ceramics","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"944","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"944","051","","9","3.860","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","","11","3.887","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","007","","10","3.360","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"996","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","067","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".","12.5","25.0",".",".","."
"996","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","28","3.705","57.1","21.4","7.1","3.6",".",".",".",".",".",".",".","3.6","7.1",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","097","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 74 of 382"
