"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","","195","3.195","24.1","23.1","27.2","17.4","5.6","1.0",".","1.5",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","","49","3.306","14.3","38.8","40.8","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
116","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","410
001","","53","3.698","64.2","11.3","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","","43","3.674","60.5","23.3","11.6",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","96","3.688","62.5","16.7","18.8",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","420
001","","39","3.282","25.6","25.6","35.9","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
420","","41","2.963","7.3","29.3","24.4","26.8","12.2",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","80","3.119","16.3","27.5","30.0","16.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","710
001","","40","3.654","50.0","35.0","7.5","2.5","2.5",".",".",".",".",".",".",".",".","2.5",".","."
"Real Estate Law","712
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","","31","3.645","48.4","35.5","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
002","","43","3.417","32.6","25.6","34.9",".","4.7",".",".","2.3",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","","13","3.750","69.2",".","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","799
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
116","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Smr-Urban Land Econ PhD","978
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","","2","***","","","","","","","","","","","","","","","",""
