"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","704
001","40","3.800","67.5","25.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
704","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
003","43","3.860","81.4","9.3","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","106","3.844","75.5","17.9","6.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
706","55","3.481","27.3","40.0","30.9",".",".",".",".",".",".",".",".",".",".",".",".","1.8"
"","706
002","44","3.895","81.8","11.4","4.5",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"Adv Statistical Methods I","Course Total","99","3.665","51.5","27.3","19.2",".",".",".",".",".",".",".",".",".",".",".","1.0","1.0"
"","710
001","36","3.736","58.3","30.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","35","3.729","57.1","31.4","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","71","3.732","57.7","31.0","11.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
765","41","3.512","65.9","7.3","7.3","7.3","9.8","2.4",".",".",".",".",".",".",".",".",".","."
"","002
765","27","3.720","59.3","14.8","18.5",".",".",".",".","3.7",".",".",".",".",".",".",".","3.7"
"Contemporary Topics","Course Total","68","3.591","63.2","10.3","11.8","4.4","5.9","1.5",".","1.5",".",".",".",".",".",".",".","1.5"
"GEN BUS
231","Dept. Total","2081","3.338","34.7","27.9","21.9","7.3","6.7","0.5","0.1","0.2",".","0.5",".",".",".","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","2.958","6.5","23.9","29.3","18.5","10.9","1.1",".",".",".","9.8",".",".",".",".",".","."
"Sophomore","","149","3.146","8.1","40.9","30.2","13.4","4.7","1.3",".",".",".","0.7",".",".",".",".",".","0.7"
"Junior","","363","3.183","18.2","27.8","36.9","10.5","5.5","0.3","0.8",".",".",".",".",".",".",".",".","."
"Senior","","902","3.275","27.4","30.9","22.3","8.0","10.5","0.6",".","0.3",".",".",".",".",".",".",".","."
"Undergraduates","","1506","3.222","22.0","30.7","27.0","9.8","8.8","0.6","0.2","0.2",".","0.7",".",".",".",".",".","0.1"
"Special","","23","3.065","30.4","21.7","21.7",".","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"Graduate","","551","3.786","69.5","20.3","8.0","0.7","0.4",".",".","0.2",".",".",".",".",".","0.4","0.2","0.4"
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","2081","3.338","34.7","27.9","21.9","7.3","6.7","0.5","0.1","0.2",".","0.5",".",".",".","0.1","0.0","0.1"
