"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","31","3.093","29.0","16.1","19.4","6.5","9.7","3.2","3.2","12.9",".",".",".",".",".",".",".","."
"","101
002","22","3.614","54.5","18.2","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","23","3.523","39.1","21.7","34.8",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","101
004","20","3.400","40.0","15.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
005","14","2.464",".","14.3","35.7","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"","101
006","16","3.469","50.0","12.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","007
101","18","3.382","33.3","27.8","22.2",".","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","101
008","14","3.357","35.7","28.6","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","101
009","18","3.028","27.8","16.7","22.2","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","010
101","21","3.025","14.3","14.3","42.9","9.5","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","101
011","23","3.326","34.8","17.4","30.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","012
101","24","2.848","8.3","12.5","33.3","25.0","16.7",".",".","4.2",".",".",".",".",".",".",".","."
"","101
014","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
101","17","3.429","35.3","29.4","5.9","5.9",".","5.9",".","11.8",".",".",".",".",".",".","5.9","."
"First Semester Italian","Course Total","281","3.256","31.3","19.9","26.7","8.5","7.5","1.4","0.7","3.6",".",".",".",".",".",".","0.4","."
"","102
002","13","3.167","7.7","46.2","15.4","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","102
004","18","3.588","50.0","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","5.6","."
"","102
006","16","3.469","25.0","62.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
007","14","3.250","35.7","7.1","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","19","2.921","21.1","15.8","15.8","21.1","26.3",".",".",".",".",".",".",".",".",".",".","."
"","102
011","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","9","3.222","22.2","22.2","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","100","3.327","33.0","27.0","17.0","13.0","8.0",".",".","1.0",".",".",".",".",".",".","1.0","."
"","201
001","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","23","3.775","56.5","21.7","8.7",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","60","3.728","56.7","25.0","13.3",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","203
001","18","2.912","16.7","16.7","38.9","11.1",".","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"","002
203","24","2.333","8.3","12.5","16.7","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"","203
004","20","3.025","25.0","5.0","50.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
006","22","3.364","31.8","27.3","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
008","20","2.900","20.0","25.0","20.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","009
203","7","3.167","14.3","42.9",".","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","111","2.908","19.8","18.9","27.9","9.9","11.7","8.1","1.8","1.8",".",".",".",".",".",".",".","."
"","204
001","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
204","12","3.591","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","22","3.548","31.8","45.5","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Directed Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","10","3.500","20.0","30.0","20.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","10","3.461","50.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Corso Di Stilistca Applicta","423
001","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","631
001","11","3.563","36.4","27.3",".",".","9.1",".",".","18.2",".",".",".",".","9.1",".",".","."
"Il Seicento E L'Arcadia","641
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
