"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","30","3.966","93.3",".","3.3",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"300","002","","18","3.194","11.1","44.4","27.8","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"300","003","","34","3.779","76.5","20.6",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"300","004","","32","3.797","71.9","21.9","3.1",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"300","005","","27","3.615","40.7","44.4","7.4",".","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"School and Society","Course Total","","141","3.716","63.8","24.1","6.4","0.7","2.8",".","0.7","0.7",".",".",".",".",".",".","0.7","."
"399
Independent Reading","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","50","3.300","16.0","38.0","38.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","34","3.425","41.2","26.5","23.5",".","2.9",".","2.9",".",".",".",".",".","2.9",".",".","."
"540
Modern Philosophies of Ed","001","","19","3.500","42.1","10.5","42.1",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"545
Philos Concepts-Tch&Learng","001","","18","3.382","27.8","50.0","11.1",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","25","3.813","72.0","12.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","17","3.567","52.9","11.8","11.8","5.9","5.9",".",".","5.9",".",".",".",".",".","5.9",".","."
"635
The Sociol of School Org","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Colloquium-Ed Pol Studies","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"860
Theory & Meth in Compar Ed","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"963
Ed Plan&Curric-Dev Country","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","28","",".",".",".",".",".",".",".","78.6","3.6",".",".","14.3","3.6",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
