"Senior Honors Thesis","682
001","","5","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Sr Honors Smr in Molec Biol","686
001","","4","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Senior Thesis","691
001","","3","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Directed Studies-Molec Biol","699
001","","23","3.986","91.3","8.7",".",".","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"MOL BIOL
650","Dept. Total","","45","3.956","84.4","11.1","2.2",".","",".","",".","",".","",".","",".",".","",".","2.2","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"650
MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","3.950","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","40","3.960","87.5","7.5","2.5",".","",".","",".","",".","",".","",".",".","",".","2.5","",".",".",".","."
"Undergraduates","","","44","3.959","86.4","9.1","2.3",".","",".","",".","",".","",".","",".",".","",".","2.3","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","45","3.956","84.4","11.1","2.2",".","",".","",".","",".","",".","",".",".","",".","2.2","",".",".",".","."
