"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"467
Elections & Voting Behavior","001","","48","3.307","10.4","45.8","25.0","10.4",".",".",".","4.2",".",".",".",".",".","2.1",".","2.1"
"472
Politics of Pressure Groups","001","","56","3.245","7.1","57.1","19.6","8.9","3.6","1.8",".","1.8",".",".",".",".",".",".",".","."
"473
Public Opinion","001","","43","3.207","25.6","23.3","27.9","11.6","4.7",".","2.3","2.3",".",".",".",".",".","2.3",".","."
"501
Ancient&Medvl West Thought","001","","59","3.627","39.0","47.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"502
Dev Mod West Pol Thought","001","","20","3.740","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Topics in Political Philos","001","","51","3.685","47.1","43.1","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Feminist Political Theory","001","","41","3.494","39.0","24.4","24.4","7.3",".",".",".",".",".",".",".",".",".","4.9",".","."
"530
Ethics&Values-Policy Making","001","","41","3.466","29.3","43.9","19.5","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"551
Quantitative Anal-Pol Data","001","","22","2.609","31.8","9.1","18.2","4.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".","."
"633
Russian Politics","001","","46","3.185","15.2","30.4","37.0","10.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"639
Politics of Southeast Asia","001","","29","2.846","13.8","27.6","6.9","17.2","31.0",".",".",".",".",".",".",".",".",".",".","3.4"
"640
Politics of Japan","001","","25","3.305","24.0","36.0","12.0","24.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"659
Pol&Society:Contemp E Europ","001","","30","3.021","33.3","10.0","13.3","23.3","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"681","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seniors Honors Thesis","Course Total","","8","3.741","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"695","001","","6","3.600","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"695","002","","14","3.393","7.1","64.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","23","3.318","21.7","47.8","17.4","4.3",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"698","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","15","3.926","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
