"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1092","3.641","59.6","20.1","11.9","3.8","2.3","0.4","0.1","1.1","0.1",".","",".","0.1","0.5","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","70","3.629","61.4","14.3","17.1","2.9","4.3",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","152","3.487","46.7","21.7","20.4","5.3","5.9",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","165","3.492","47.3","24.2","15.2","7.9","4.2",".","0.6",".","0.6",".","",".",".",".",".",".","."
"Senior","","233","3.540","52.4","20.6","16.7","5.6","1.7","1.7",".","0.9",".",".","",".",".",".","0.4",".","."
"Undergraduates","","620","3.523","50.6","21.1","17.3","5.8","3.7","0.6","0.2","0.3","0.2",".","",".",".",".","0.2",".","."
"Special","","24","3.750","70.8","8.3","8.3","4.2",".",".",".","4.2",".",".","",".",".",".",".","4.2","."
"Graduate","","447","3.820","71.6","19.2","4.7","0.9","0.4",".",".","1.8",".",".","",".","0.2","1.1",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","Dept. Total","1092","3.641","59.6","20.1","11.9","3.8","2.3","0.4","0.1","1.1","0.1",".","",".","0.1","0.5","0.1","0.1","."
