"MEDICAL GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","",""
"Human Genetics","565
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
006","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"","677
007","","20","3.905","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","677
008","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
010","","8","3.353","50.0",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","677
011","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","677
013","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25.0"
"Advanced Topics in Genetics","Course Total","","95","3.922","89.5","1.1","3.2","1.1","1.1",".",".","1.1",".",".",".",".",".",".","1.1","2.1"
"","699
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","071
699","","14","3.977","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","21","3.864","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","713
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Genetics","731
001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990
048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Genetics","993
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999
048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","","161","3.804","74.5","9.3","7.5","1.2","1.2",".",".","3.7",".",".",".",".",".",".","1.2","1.2"
