"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","166","3.163","13.9","34.9","30.7","13.9","3.6","0.6","1.2",".",".",".",".",".",".",".","1.2","."
"","120","001","158","2.833","13.9","17.7","27.8","19.0","12.7","5.7","1.9","0.6",".",".",".",".",".",".","0.6","."
"","120","002","143","2.871","13.3","18.2","25.9","22.4","12.6","5.6",".",".",".",".",".",".",".",".","0.7","1.4"
"Global Phys Environments","","Course Total","301","2.851","13.6","17.9","26.9","20.6","12.6","5.6","1.0","0.3",".",".",".",".",".",".","0.7","0.7"
"","121","001","48","2.755","14.6","25.0","12.5","22.9","12.5","4.2","6.3","2.1",".",".",".",".",".",".",".","."
"","121","002","37","2.824","5.4","18.9","43.2","16.2","10.8","2.7","2.7",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","","Course Total","85","2.786","10.6","22.4","25.9","20.0","11.8","3.5","4.7","1.2",".",".",".",".",".",".",".","."
"","127","001","168","2.789","11.3","22.0","16.7","23.8","22.0","3.0","1.2",".",".",".",".",".",".",".",".","."
"","127","002","184","2.948","15.2","23.4","26.6","16.3","13.0","3.8","1.1",".",".",".",".",".",".",".",".","0.5"
"Physical Systems of Envr","","Course Total","352","2.872","13.4","22.7","21.9","19.9","17.3","3.4","1.1",".",".",".",".",".",".",".",".","0.3"
"Resources and People","139","001","110","2.995","21.8","16.4","28.2","13.6","11.8","4.5","0.9","0.9",".",".",".",".","1.8",".",".","."
"Map Reading&Interpretation","170","001","34","2.971","14.7","26.5","20.6","20.6","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Man","240","001","19","2.923","10.5","5.3","68.4",".","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Africa: Introductory Survey","277","001","13","2.208","7.7","7.7","23.1","15.4","15.4","7.7","15.4",".",".",".",".",".",".","7.7",".","."
"Introduction to the City","305","001","45","2.750","17.8","13.3","20.0","4.4","37.8","4.4",".","2.2",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","34","3.121","14.7","23.5","38.2","11.8","8.8",".",".","2.9",".",".",".",".",".",".",".","."
"Geomorphology","320","001","11","3.150","36.4","9.1","9.1","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","13","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","29","2.759","10.3","20.7","31.0","6.9","20.7","10.3",".",".",".",".",".",".",".",".",".","."
"","339","001","48","2.854","22.9","16.7","27.1","4.2","16.7","10.4","2.1",".",".",".",".",".",".",".",".","."
"","339","002","42","2.940","19.0","26.2","21.4","19.0","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","90","2.894","21.1","21.1","24.4","11.1","12.2","5.6","4.4",".",".",".",".",".",".",".",".","."
"United States and Canada","341","001","39","3.179","35.9","20.5","20.5","5.1","12.8","2.6","2.6",".",".",".",".",".",".",".",".","."
"Europe","349","001","66","3.439","37.9","27.3","22.7","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Russia & NIS-Topical Anal","353","001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","37","3.097","27.0","10.8","24.3","29.7","2.7","2.7",".","2.7",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","35","3.143","22.9","28.6","20.0","17.1","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"History of Cartography","371","001","18","3.588","33.3","44.4","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","38","2.986","21.1","15.8","26.3","18.4","10.5","5.3",".",".","2.6",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","16","3.808","50.0","31.3",".",".",".",".",".",".",".",".",".",".","12.5",".","6.3","."
"Environmnt&Quality of Life","519","001","20","3.632","40.0","45.0","5.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Envr Geog&Cnsrv-Devlp Cntry","535","001","16","3.833","75.0","6.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".","."
"Prob-Geog of Latin America","548","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Geog-Asian Cities","558","001","20","2.737","25.0","5.0","35.0","5.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".","5.0"
"Adv Quantitative Methods","560","001","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Cartography","570","001","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
