"Pediatric Sports Med-CSC","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","","","",""
"","967
001","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
002","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Ped Pulmon/Allergy Clrk-CSC","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT
708","Dept. Total","120","3.535","27.5","56.7","13.3","0.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.7"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","100.0"
"Graduate","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","64","3.445","10.9","68.8","18.8","1.6","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","51","3.703","47.1","47.1","5.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","115","3.537","27.0","59.1","13.0","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","120","3.535","27.5","56.7","13.3","0.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.7"
