"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Surveying Fundamentals","201","001","","38","2.946","23.7",".","47.4","5.3","15.8","5.3",".",".",".",".",".",".",".",".","2.6","."
"Field Applicatns-Surveying","202","001","","34","2.941","29.4","5.9","17.6","23.5","20.6","2.9",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249","001","","17","3.471","58.8","23.5","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Principles of Ag Machinery","361","001","","6","3.083",".","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364","001","","26","2.981","11.5","7.7","50.0","26.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","9","2.944","11.1","33.3","44.4",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Irrigatn&Drainage Sys Dsgn","473","001","","10","2.950","10.0",".","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fundmntl-Biol&Ag Engr Desgn","501","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","900","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","13","",".",".",".",".",".",".",".","53.8",".",".",".","38.5","7.7",".",".","."
