"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","20","3.200","25.0","35.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Intro to Plant Pathology","001","","59","3.246","30.5","23.7","22.0","15.3","6.8","1.7",".",".",".",".",".",".",".",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","15","3.400","73.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"602
Ecol&Epidemiol-Plt Diseases","001","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"606
Colloquium in Env Tox","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"636
Fungal Ecol & Biotechnology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Plant Pathology Tchg","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Seminar","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","28","",".",".",".",".",".",".",".","64.3",".",".",".","32.1",".",".","3.6","."
