"","699
012","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","699
020","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","699
024","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Directed Study","Course Total","7","3.917","85.7","14.3",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"THER SCI
939","Dept. Total","481","3.834","62.4","12.9","5.6","0.2","0.4","0.2","",".","1.0","",".","17.0","0.2","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.559","26.7","46.7","26.7",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","13","3.346","46.2","23.1","15.4",".","7.7","7.7","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","62","3.887","79.0","14.5","4.8",".",".",".","",".","1.6","",".",".",".","",".","",".",".",".","."
"Senior","","386","3.842","62.2","10.6","4.7","0.3","0.3",".","",".","0.5","",".","21.2","0.3","",".","",".",".",".","."
"Undergraduates","","476","3.835","62.8","12.6","5.7","0.2","0.4","0.2","",".","0.6","",".","17.2","0.2","",".","",".",".",".","."
"Special","","3","3.625","33.3","66.7",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","2","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"","Dept. Total","481","3.834","62.4","12.9","5.6","0.2","0.4","0.2","",".","1.0","",".","17.0","0.2","",".","",".",".",".","."
