"Research","990
048","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Genetics","993
002","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Work","999
048","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","161","3.804","74.5","9.3","7.5","1.2","1.2","",".","",".","3.7","",".",".","",".","",".","",".",".","1.2","1.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","3.786","71.4",".","14.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","14.3"
"Junior","","54","3.991","96.3","1.9",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","1.9"
"Senior","","48","3.711","81.3","2.1","8.3","4.2","4.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","109","3.858","88.1","1.8","4.6","1.8","1.8","",".","",".",".","",".",".","",".","",".","",".",".",".","1.8"
"Special","","6","4.000","66.7",".",".",".",".","",".","",".","16.7","",".",".","",".","",".","",".",".","16.7","."
"Graduate","","46","3.647","43.5","28.3","15.2",".",".","",".","",".","10.9","",".",".","",".","",".","",".",".","2.2","."
"","Dept. Total","161","3.804","74.5","9.3","7.5","1.2","1.2","",".","",".","3.7","",".",".","",".","",".","",".",".","1.2","1.2"
