"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","80","3.631","51.3","28.8","16.3","2.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","74","3.399","18.9","47.3","28.4","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","74","2.966","6.8","17.6","48.6","16.2","10.8",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","74","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","74","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"642","001","","36","4.000","30.6",".",".",".",".",".",".","69.4",".",".",".",".",".",".",".","."
"642","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","41","4.000","29.3",".",".",".",".",".",".","70.7",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","23","4.000","43.5",".",".",".",".",".",".","56.5",".",".",".",".",".",".",".","."
"645","001","","37","4.000","5.4",".",".",".",".",".",".","94.6",".",".",".",".",".",".",".","."
"645","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","38","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"646","001","","28","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"646","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Anesthesiology","Course Total","","30","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","33","4.000","12.1",".",".",".",".",".",".","87.9",".",".",".",".",".",".",".","."
"675","001","","12","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"675","002","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","39","4.000","15.4",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.818","45.5",".","9.1",".",".",".",".","36.4",".",".",".","9.1",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","25","4.000","48.0",".",".",".",".",".",".","52.0",".",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
